variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,matched_invoice_after_goods_receipt,"Goods receipt occurs before the invoice is recorded, followed by invoice clearance, fulfilling the standard 3-way match after goods receipt.",3.0,matched_invoice_before_goods_receipt,1.0,0.339836448431015,1.0375811143603642e-05
V0002,matched_invoice_after_goods_receipt,"Record Goods Receipt occurs prior to Vendor creates invoice and Record Invoice Receipt, matching the 3-way match after goods receipt.",3.0,matched_invoice_before_goods_receipt,1.0,0.3362569808959961,1.5803054338903166e-05
V0003,,"The process ends at Record Goods Receipt without an invoice creation or clearance, so it does not realize any matching category.",,two_way_matched,1.0,,0.0002968281623907387
V0004,matched_invoice_before_goods_receipt,"Vendor creates invoice happens before Record Goods Receipt, fitting the 3-way matched category where invoice is recorded before goods receipt.",2.0,matched_invoice_after_goods_receipt,1.0,0.33487603068351746,1.0000213706007344e-06
V0005,matched_invoice_after_goods_receipt,"Record Goods Receipt takes place before Vendor creates invoice and Record Invoice Receipt, fulfilling the 3-way match after goods receipt.",3.0,matched_invoice_before_goods_receipt,1.0,0.33340004086494446,5.712707570637576e-05
V0006,matched_invoice_after_goods_receipt,"Record Goods Receipt precedes Vendor creates invoice and Record Invoice Receipt, fitting the post-GR 3-way match category.",4.0,matched_invoice_before_goods_receipt,1.0,0.34142279624938965,1.373025315842824e-05
V0007,matched_invoice_before_goods_receipt,"Vendor creates invoice occurs before Record Goods Receipt, fulfilling the 3-way matched category where invoice is recorded before goods receipt.",2.0,matched_invoice_after_goods_receipt,1.0,0.3362114429473877,1.0760294571809936e-05
V0008,matched_invoice_after_goods_receipt,"Record Goods Receipt occurs before Vendor creates invoice and subsequent invoice recording, realizing the post-GR 3-way match.",3.0,matched_invoice_before_goods_receipt,1.0,0.33462777733802795,3.758809543796815e-05
V0009,,"The purchase order item is deleted, resulting in no invoice matching or clearance.",,two_way_matched,2.0,,0.06391561031341553
V0010,matched_invoice_before_goods_receipt,"Vendor creates invoice occurs before Record Goods Receipt, realizing the pre-GR 3-way match category.",3.0,matched_invoice_after_goods_receipt,1.0,0.3365664482116699,1.8670036297407933e-05
V0011,matched_invoice_before_goods_receipt,"Vendor creates invoice occurs before Record Goods Receipt, aligning with the 3-way matched before goods receipt category.",4.0,matched_invoice_after_goods_receipt,1.0,0.6823434233665466,5.363822492654435e-05
V0012,,Process stops at Record Goods Receipt without invoice recording or matching.,,matched_invoice_after_goods_receipt,1.0,,0.00023286370560526848
V0013,matched_invoice_after_goods_receipt,"Record Goods Receipt occurs prior to Vendor creates invoice and Record Invoice Receipt, fitting the 3-way match after goods receipt.",4.0,matched_invoice_before_goods_receipt,1.0,0.6856715679168701,6.99508746038191e-05
V0014,,Process terminates immediately after creating the purchase order item.,,two_way_matched,2.0,,0.3333333432674408
V0015,matched_invoice_before_goods_receipt,"Vendor creates invoice happens before Record Goods Receipt, realizing the pre-GR 3-way match category.",3.0,matched_invoice_after_goods_receipt,1.0,0.6820623874664307,2.3251661332324147e-05
V0016,matched_invoice_after_goods_receipt,"Record Goods Receipt takes place before Vendor creates invoice and Record Invoice Receipt, fitting the post-GR 3-way match.",4.0,matched_invoice_before_goods_receipt,1.0,0.3412437438964844,9.595063602318987e-05
V0017,matched_invoice_after_goods_receipt,"Record Goods Receipt precedes Vendor creates invoice and Record Invoice Receipt, fulfilling the post-GR 3-way match.",5.0,matched_invoice_before_goods_receipt,1.0,0.6972842216491699,0.0017618000274524093
V0018,matched_invoice_after_goods_receipt,"Record Goods Receipt occurs before Vendor creates invoice and Record Invoice Receipt, fitting the post-GR 3-way match.",5.0,matched_invoice_before_goods_receipt,1.0,0.6847190856933594,6.966866203583777e-05
V0019,matched_invoice_before_goods_receipt,"Vendor creates invoice occurs before Record Goods Receipt, realizing the 3-way matched before goods receipt category.",3.0,matched_invoice_after_goods_receipt,1.0,0.3335578441619873,1.8034315871773288e-05
V0020,matched_invoice_before_goods_receipt,"Vendor creates invoice occurs before Create Purchase Order Item and Record Goods Receipt, fitting the pre-GR 3-way match category.",3.0,matched_invoice_after_goods_receipt,1.0,0.3425420820713043,0.000120417149446439
V0021,matched_invoice_before_goods_receipt,"Vendor creates invoice occurs prior to Record Goods Receipt, realizing the 3-way matched before goods receipt category.",3.0,matched_invoice_after_goods_receipt,1.0,0.3383549749851227,2.505644988559652e-05
V0022,matched_invoice_after_goods_receipt,"Record Goods Receipt happens before Vendor creates invoice and Record Invoice Receipt, fulfilling the post-GR 3-way match.",4.0,matched_invoice_before_goods_receipt,1.0,0.3354412317276001,2.2672475097351708e-05
V0023,matched_invoice_after_goods_receipt,"Record Goods Receipt occurs before Vendor creates invoice and Record Invoice Receipt, matching the post-GR 3-way match.",3.0,matched_invoice_before_goods_receipt,2.0,0.33433759212493896,3.0446310120169073e-05
V0024,,Process stops after creating the purchase order item with no invoicing or matching steps.,,matched_invoice_after_goods_receipt,2.0,,0.34760046005249023
V0025,matched_invoice_before_goods_receipt,"Vendor creates invoice occurs before Record Goods Receipt, fulfilling the 3-way matched before goods receipt category.",3.0,matched_invoice_after_goods_receipt,1.0,0.33965858817100525,2.2126391741039697e-06
V0026,matched_invoice_after_goods_receipt,"Goods receipt occurs prior to invoice recording, fulfilling the 3-way matched after goods receipt category.",5.0,matched_invoice_before_goods_receipt,1.0,0.35181257128715515,4.715963314083638e-06
V0027,,The process ends at Record Invoice Receipt without clearing or completing the full matching and payment cycle.,,matched_invoice_after_goods_receipt,1.0,,0.00018354308849666268
V0028,,The process ends at Record Invoice Receipt without reaching full invoice clearance or payment.,,matched_invoice_after_goods_receipt,1.0,,4.857442399952561e-05
V0029,,The purchase order item is deleted before reaching any invoice matching or goods receipt.,,matched_invoice_after_goods_receipt,2.0,,0.03835882619023323
V0030,matched_invoice_after_goods_receipt,"Goods receipt precedes invoice receipt, matching the 3-way matched after goods receipt category.",5.0,matched_invoice_before_goods_receipt,1.0,0.6828324794769287,2.5950153940357268e-05
V0031,matched_invoice_after_goods_receipt,"Goods receipt occurs before invoice receipt, realizing the standard 3-way matched after goods receipt category.",5.0,matched_invoice_before_goods_receipt,1.0,0.6777830123901367,0.0
V0032,matched_invoice_after_goods_receipt,"Goods receipt happens before invoice receipt, fulfilling the 3-way matched after goods receipt category.",3.0,matched_invoice_before_goods_receipt,1.0,0.33639803528785706,1.596400761627592e-05
V0033,matched_invoice_after_goods_receipt,"Goods receipt is recorded prior to invoice receipt, matching the 3-way matched after goods receipt category.",4.0,matched_invoice_before_goods_receipt,1.0,0.3350186049938202,3.0326116757350974e-05
V0034,,The process ends at Record Goods Receipt without any invoice recording or matching.,,matched_invoice_after_goods_receipt,1.0,,0.0023386829998344183
V0035,matched_invoice_after_goods_receipt,"Goods receipt occurs prior to invoice receipt, matching the 3-way matched after goods receipt category.",4.0,matched_invoice_before_goods_receipt,1.0,0.3356473743915558,1.1309039109619334e-05
V0036,matched_invoice_after_goods_receipt,"Goods receipt is recorded before invoice receipt, fulfilling the 3-way matched after goods receipt category.",5.0,matched_invoice_before_goods_receipt,1.0,0.3353724479675293,5.01959164012078e-07
V0037,,The purchase order item is deleted before any processing can occur.,,two_way_matched,2.0,,0.032679151743650436
V0038,matched_invoice_after_goods_receipt,"Goods receipt happens before invoice receipt, matching the 3-way matched after goods receipt category.",4.0,matched_invoice_before_goods_receipt,1.0,0.336495965719223,1.417439943907084e-05
V0039,,The process ends at Record Goods Receipt without any invoice handling.,,matched_invoice_after_goods_receipt,1.0,,4.970142254023813e-05
V0040,matched_invoice_after_goods_receipt,"Goods receipt precedes invoice receipt, fitting the 3-way matched after goods receipt category.",3.0,matched_invoice_before_goods_receipt,1.0,0.33547115325927734,5.808435162180103e-06
V0041,matched_invoice_after_goods_receipt,"Goods receipt is recorded before invoice receipt, realizing the 3-way matched after goods receipt category.",4.0,matched_invoice_before_goods_receipt,2.0,0.3355962038040161,6.8458243731583934e-06
V0042,,The process involves repeated goods receipts and ends without invoice recording.,,two_way_matched,1.0,,0.0002480542752891779
V0043,matched_invoice_after_goods_receipt,"Goods receipt occurs before invoice receipt, fitting the 3-way matched after goods receipt category.",5.0,matched_invoice_before_goods_receipt,1.0,0.6763065457344055,0.00020022771786898375
V0044,matched_invoice_before_goods_receipt,"Invoice is recorded prior to the goods receipt, fulfilling the 3-way matched before goods receipt category.",2.0,matched_invoice_after_goods_receipt,1.0,0.33453527092933655,1.2833985238103196e-05
V0045,matched_invoice_after_goods_receipt,"Goods receipt happens before invoice receipt, matching the 3-way matched after goods receipt category.",4.0,matched_invoice_before_goods_receipt,1.0,0.6790810227394104,0.0005091502680443227
V0046,,The process terminates at Record Goods Receipt without an invoice.,,matched_invoice_before_goods_receipt,2.0,,0.00010374777048127726
V0047,matched_invoice_after_goods_receipt,"Goods receipt is recorded before invoice receipt, realizing the 3-way matched after goods receipt category.",3.0,matched_invoice_before_goods_receipt,1.0,0.33447250723838806,5.825013886351371e-06
V0048,matched_invoice_before_goods_receipt,"Invoice is recorded before the goods receipt, fitting the 3-way matched before goods receipt category.",4.0,matched_invoice_after_goods_receipt,1.0,0.6779074668884277,0.0005599626456387341
V0049,matched_invoice_before_goods_receipt,"Invoice receipt is recorded prior to goods receipt, fulfilling the 3-way matched before goods receipt category.",3.0,matched_invoice_after_goods_receipt,1.0,0.33600154519081116,8.600470209785271e-06
V0050,matched_invoice_before_goods_receipt,"Invoice receipt occurs before goods receipt, realizing the 3-way matched before goods receipt category.",5.0,matched_invoice_after_goods_receipt,2.0,0.3452664613723755,0.00010671086056390777
V0051,matched_invoice_after_goods_receipt,"Goods receipt occurs before invoice recording, matching the standard 3-way match after goods receipt category.",4.0,matched_invoice_before_goods_receipt,1.0,0.6920304894447327,0.00033132859971374273
V0052,matched_invoice_after_goods_receipt,"Vendor creates invoice, followed by goods receipt (with repetition) and invoice receipt, representing a 3-way match after goods receipt.",3.0,matched_invoice_before_goods_receipt,1.0,0.25449374318122864,0.00010815769928740337
V0053,matched_invoice_after_goods_receipt,"Invoice is recorded before goods receipt is finally recorded, but payment block removal indicates 3-way match after goods receipt validation.",6.0,matched_invoice_before_goods_receipt,1.0,0.6911759376525879,0.0005539638223126531
V0054,,"This variant only involves PO creation and approval, without completing an invoice or goods receipt cycle.",,two_way_matched,2.0,,0.33346810936927795
V0055,,"The purchase order item is deleted, meaning no invoice matching or resolution occurs.",,matched_invoice_after_goods_receipt,2.0,,0.03082471340894699
V0056,matched_invoice_after_goods_receipt,"Goods receipt precedes invoice receipt, followed by payment block removal and invoice clearance in a standard 3-way match.",4.0,matched_invoice_before_goods_receipt,1.0,0.33542612195014954,7.553805062343599e-06
