variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,three_way_matched_after_gr,"Goods receipt occurs before the invoice is recorded, realizing the 3-way match after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33966395258903503,1.0375811143603642e-05
V0002,three_way_matched_after_gr,"Record Goods Receipt precedes Vendor creates invoice and Record Invoice Receipt, fitting three-way matched after goods receipt.",3.0,three_way_matched_before_gr,1.0,0.3360844850540161,1.5803054338903166e-05
V0003,,"The process stops at Record Goods Receipt without an invoice or clearance step, so it does not match any invoice-clearing taxonomy category.",,three_way_matched_after_gr,1.0,,0.0002968281623907387
V0004,three_way_matched_before_gr,"Vendor creates invoice and Record Invoice Receipt happen before Record Goods Receipt, realizing 3-way matched, invoice recorded before goods receipt.",2.0,three_way_matched_after_gr,1.0,0.33524397015571594,1.0000213706007344e-06
V0005,three_way_matched_after_gr,"Record Goods Receipt occurs prior to the invoice being created and recorded, matching three_way_matched_after_gr.",3.0,three_way_matched_before_gr,2.0,0.3334391117095947,5.024274287279695e-05
V0006,three_way_matched_after_gr,"Goods receipt is recorded before the invoice receipt, realizing three_way_matched_after_gr.",4.0,three_way_matched_before_gr,1.0,0.34125033020973206,5.267420783638954e-05
V0007,three_way_matched_before_gr,"Vendor creates invoice and Record Invoice Receipt happen before Record Goods Receipt, matching three_way_matched_before_gr.",2.0,three_way_matched_after_gr,1.0,0.33657941222190857,1.0760294571809936e-05
V0008,three_way_matched_after_gr,"Record Goods Receipt occurs before the invoice is created and recorded, matching three_way_matched_after_gr.",3.0,three_way_matched_before_gr,1.0,0.33480024337768555,3.758809543796815e-05
V0009,,Purchase order item is deleted immediately; does not realize any matching or clearance category.,,three_way_matched_after_gr,1.0,,0.052251968532800674
V0010,three_way_matched_after_gr,"Record Goods Receipt is performed before Record Invoice Receipt, realizing three_way_matched_after_gr.",3.0,three_way_matched_before_gr,1.0,0.33682942390441895,1.631987288419623e-05
V0011,three_way_matched_after_gr,"Record Goods Receipt precedes Record Invoice Receipt, fitting three_way_matched_after_gr.",5.0,three_way_matched_before_gr,1.0,0.6826063990592957,2.4574050257797353e-05
V0012,,"Variant ends at Record Goods Receipt without invoice handling or clearance, leaving it outside the matching categories.",,three_way_matched_after_gr,1.0,,0.00023286370560526848
V0013,three_way_matched_after_gr,"Record Goods Receipt occurs before Vendor creates invoice and Record Invoice Receipt, matching three_way_matched_after_gr.",4.0,three_way_matched_before_gr,1.0,0.6854991316795349,0.0004660844861064106
V0014,,"Incomplete process ending at Create Purchase Order Item, thus not fitting any category.",,three_way_matched_before_gr,2.0,,0.5159500241279602
V0015,three_way_matched_before_gr,"Vendor creates invoice occurs before Record Goods Receipt, realizing three_way_matched_before_gr.",3.0,three_way_matched_after_gr,1.0,0.6824303269386292,2.3251661332324147e-05
V0016,three_way_matched_after_gr,"Record Goods Receipt is performed before the invoice is created and recorded, matching three_way_matched_after_gr.",4.0,three_way_matched_before_gr,1.0,0.3410712778568268,4.582580459100427e-06
V0017,three_way_matched_after_gr,"Record Goods Receipt precedes Vendor creates invoice and Record Invoice Receipt, matching three_way_matched_after_gr.",5.0,three_way_matched_before_gr,1.0,0.6971117854118347,0.002168478677049279
V0018,three_way_matched_after_gr,"Record Goods Receipt is executed before Vendor creates invoice and Record Invoice Receipt, fitting three_way_matched_after_gr.",5.0,three_way_matched_before_gr,1.0,0.6845466494560242,0.00039923901204019785
V0019,three_way_matched_after_gr,"Vendor creates invoice happens after order creation, but Record Goods Receipt precedes Record Invoice Receipt, matching three_way_matched_after_gr.",3.0,three_way_matched_before_gr,1.0,0.33382081985473633,1.5505949704675004e-05
V0020,three_way_matched_before_gr,"Vendor creates invoice occurs before Create Purchase Order Item / Record Goods Receipt sequence, matching three_way_matched_before_gr.",3.0,three_way_matched_after_gr,1.0,0.3429100513458252,0.000120417149446439
V0021,three_way_matched_before_gr,"Vendor creates invoice occurs before Record Goods Receipt, fitting three_way_matched_before_gr.",3.0,three_way_matched_after_gr,1.0,0.33872294425964355,3.9119547068366956e-07
V0022,three_way_matched_after_gr,"Record Goods Receipt occurs before Vendor creates invoice and Record Invoice Receipt, matching three_way_matched_after_gr.",4.0,three_way_matched_before_gr,1.0,0.3352687656879425,2.2672475097351708e-05
V0023,three_way_matched_after_gr,"Record Goods Receipt occurs prior to Vendor creates invoice and Record Invoice Receipt, fitting three_way_matched_after_gr.",3.0,three_way_matched_before_gr,1.0,0.33451005816459656,2.328455047972966e-05
V0024,,"Process stops at Create Purchase Order Item without invoicing or clearance, leaving it in the residual.",,two_way_matched,2.0,,0.34760046005249023
V0025,three_way_matched_before_gr,"Vendor creates invoice occurs before Record Goods Receipt, fitting three_way_matched_before_gr.",3.0,three_way_matched_after_gr,1.0,0.34002652764320374,2.2126391741039697e-06
V0026,three_way_matched_after_gr,"The narrative shows the invoice is recorded after the goods receipt, fulfilling the 3-way match control regime.",5.0,three_way_matched_before_gr,1.0,0.35164010524749756,4.715963314083638e-06
V0027,,The process ends at Record Invoice Receipt without completing invoice clearance or matching fully.,,three_way_matched_after_gr,1.0,,0.00018354308849666268
V0028,,The process concludes at Record Invoice Receipt without reaching payment clearance or closure.,,three_way_matched_after_gr,1.0,,4.857442399952561e-05
V0029,,"The purchase order item is deleted, meaning the process does not execute a matching or fulfillment category.",,two_way_matched,2.0,,0.026695184409618378
V0030,three_way_matched_after_gr,"Goods receipt occurs before the invoice receipt, realizing the 3-way matched after goods receipt category.",5.0,three_way_matched_before_gr,1.0,0.6826600432395935,8.432253707724158e-06
V0031,three_way_matched_after_gr,"Record Goods Receipt precedes Record Invoice Receipt, aligning with the 3-way matched after goods receipt category.",5.0,three_way_matched_before_gr,1.0,0.6776105761528015,0.0
V0032,three_way_matched_after_gr,"Record Goods Receipt occurs before Record Invoice Receipt is processed, realizing the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33622559905052185,1.596400761627592e-05
V0033,three_way_matched_after_gr,"Record Goods Receipt takes place prior to Record Invoice Receipt, fitting the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.3348461389541626,3.0326116757350974e-05
V0034,,The variant terminates at Record Goods Receipt without invoice recording or clearance.,,three_way_matched_after_gr,1.0,,0.0006336703663691878
V0035,three_way_matched_after_gr,"Goods receipt happens before the invoice receipt, satisfying the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.3354748785495758,1.1309039109619334e-05
V0036,three_way_matched_after_gr,"Record Goods Receipt precedes Record Invoice Receipt, adhering to the 3-way matched after goods receipt category.",5.0,three_way_matched_before_gr,1.0,0.3351999819278717,5.01959164012078e-07
V0037,,"The purchase order item is deleted, failing to achieve any matching category.",,three_way_matched_after_gr,1.0,,0.021015511825680733
V0038,three_way_matched_after_gr,"Goods receipt occurs before the invoice is recorded, matching the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.33632349967956543,4.0480290408595465e-07
V0039,,The process stops at Record Goods Receipt without reaching invoice recording or clearance.,,three_way_matched_after_gr,1.0,,4.970142254023813e-05
V0040,three_way_matched_after_gr,"Record Goods Receipt precedes Record Invoice Receipt, fitting the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33529865741729736,4.293401161703514e-06
V0041,three_way_matched_after_gr,"Goods receipt is recorded before the invoice receipt, satisfying the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.3357686698436737,6.8458243731583934e-06
V0042,,The variant involves repeated goods receipts and terminates without invoicing or clearance.,,three_way_matched_after_gr,1.0,,0.0002480542752891779
V0043,three_way_matched_after_gr,"Record Goods Receipt happens before Record Invoice Receipt, realizing the 3-way matched after goods receipt category.",5.0,three_way_matched_before_gr,1.0,0.6761341094970703,0.00020022771786898375
V0044,three_way_matched_after_gr,"Record Goods Receipt occurs before Record Invoice Receipt, fitting the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33479824662208557,7.821118197171018e-05
V0045,three_way_matched_after_gr,"Goods receipt precedes invoice receipt, satisfying the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.6789085268974304,6.634505552938208e-05
V0046,,The process stops at Record Goods Receipt without involving an invoice or clearance.,,three_way_matched_after_gr,2.0,,0.00010374777048127726
V0047,three_way_matched_after_gr,"Record Goods Receipt takes place before Record Invoice Receipt, aligning with the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33464494347572327,5.825013886351371e-06
V0048,three_way_matched_after_gr,"Goods receipt is recorded prior to the invoice receipt, realizing the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.6781705021858215,3.0656457965960726e-05
V0049,three_way_matched_before_gr,"The invoice is recorded prior to the goods receipt, fulfilling the 3-way matched before goods receipt category.",3.0,three_way_matched_after_gr,1.0,0.33636951446533203,8.600470209785271e-06
V0050,three_way_matched_before_gr,"Record Invoice Receipt occurs before Record Goods Receipt, fitting the 3-way matched before goods receipt category.",5.0,three_way_matched_after_gr,2.0,0.34563443064689636,8.216915739467368e-05
V0051,three_way_matched_after_gr,"Goods receipt occurs before the invoice is recorded, fulfilling the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.6918579936027527,0.00033132859971374273
V0052,three_way_matched_after_gr,"Goods receipt occurs before the invoice is recorded, fulfilling the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.25432127714157104,0.00010815769928740337
V0053,three_way_matched_before_gr,"The invoice is recorded prior to the goods receipt, fulfilling the 3-way matched before goods receipt category.",4.0,three_way_matched_after_gr,1.0,0.6911085247993469,0.0016151064774021506
V0054,,The process variant ends with a purchase order approval change and does not involve invoice matching or clearance.,,three_way_matched_before_gr,2.0,,0.33346810936927795
V0055,,"The process variant results in the deletion of a purchase order item, leaving no invoice or goods receipt to match.",,two_way_matched,2.0,,0.019161071628332138
V0056,three_way_matched_after_gr,"Goods receipt is recorded before the invoice receipt, realizing the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.33525362610816956,7.553805062343599e-06
V0057,three_way_matched_after_gr,"Goods receipt is recorded prior to the invoice receipt, realizing the 3-way matched after goods receipt category.",5.0,three_way_matched_before_gr,1.0,0.67677241563797,8.160038851201534e-05
V0058,three_way_matched_before_gr,"Invoice is recorded prior to the goods receipt, realizing the 3-way matched before goods receipt category.",4.0,three_way_matched_after_gr,2.0,0.3452777564525604,6.579857290489599e-05
V0059,three_way_matched_after_gr,"Goods receipt happens before the invoice is recorded, matching the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,2.0,0.3362943232059479,1.7431058950023726e-05
V0060,three_way_matched_after_gr,"Goods receipt precedes invoice receipt, satisfying the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.338396281003952,4.09215817853692e-06
V0061,three_way_matched_before_gr,"Invoice is recorded before the goods receipt step, fulfilling the 3-way matched before goods receipt category.",3.0,three_way_matched_after_gr,1.0,0.33373233675956726,1.615163569113065e-06
V0062,three_way_matched_before_gr,"Invoice is recorded before the goods receipt step, realizing the 3-way matched before goods receipt category.",3.0,three_way_matched_after_gr,1.0,0.33777961134910583,3.975746039941441e-06
V0063,,The process variant ends at goods receipt without an invoice receipt or clearance activity.,,three_way_matched_after_gr,2.0,,0.00043675547931343317
V0064,,The process variant contains a service entry sheet and goods receipt without an invoice lifecycle.,,three_way_matched_after_gr,1.0,,0.3333333432674408
V0065,three_way_matched_after_gr,"Goods receipt precedes invoice recordation, fulfilling the 3-way matched after goods receipt category.",9.0,three_way_matched_before_gr,2.0,0.3399805724620819,5.1345119572943076e-05
V0066,three_way_matched_after_gr,"Goods receipt happens prior to the invoice receipt, fitting the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33766400814056396,1.0589758858259302e-05
V0067,three_way_matched_after_gr,"Goods receipt occurs before invoice receipt, fitting the 3-way matched after goods receipt category.",4.0,three_way_matched_before_gr,1.0,0.3398091793060303,1.7817657862906344e-05
V0068,,The process variant only changes purchase order approvals and does not involve invoice matching.,,three_way_matched_before_gr,2.0,,0.3901793658733368
V0069,three_way_matched_after_gr,"Goods receipt is completed before the invoice is recorded, matching the 3-way matched after goods receipt category.",3.0,three_way_matched_before_gr,1.0,0.33401259779930115,1.0647113413142506e-07
V0070,three_way_matched_before_gr,"The invoice is recorded before the goods receipt, satisfying the 3-way matched before goods receipt category.",6.0,three_way_matched_after_gr,2.0,0.7124186158180237,0.013753673993051052
V0071,,The process variant consists solely of changing the delivery indicator on the purchase order.,,three_way_matched_after_gr,2.0,,0.0012865163153037429
V0072,three_way_matched_before_gr,"The vendor creates the invoice and it is recorded before the goods receipt, satisfying the 3-way matched before goods receipt category.",2.0,three_way_matched_after_gr,1.0,0.3338383734226227,9.586055057297926e-06
V0073,,The process variant terminates at goods receipt without any invoice being processed.,,three_way_matched_after_gr,2.0,,0.0007462445646524429
V0074,three_way_matched_before_gr,"The vendor creates the invoice before the purchase order item is created and goods receipt occurs, realizing the 3-way matched before goods receipt category.",3.0,three_way_matched_after_gr,2.0,0.3387492597103119,1.2538870350908837e-06
V0075,three_way_matched_after_gr,"Goods receipt occurs prior to the invoice receipt, realizing the 3-way matched after goods receipt category.",5.0,three_way_matched_before_gr,1.0,0.6773622632026672,0.00019186075951438397
V0076,three_way_matched_after_gr,"Goods receipt occurs before the invoice is recorded, realizing the 3-way match control regime after goods receipt.",4.0,three_way_matched_before_gr,1.0,0.6698975563049316,0.000863667402882129
V0077,three_way_matched_after_gr,"Record Goods Receipt takes place prior to Record Invoice Receipt, fitting the 3-way match after goods receipt category.",5.0,three_way_matched_before_gr,1.0,0.677345335483551,0.0
V0078,three_way_matched_before_gr,"Vendor creates invoice precedes Record Goods Receipt (with Record Invoice Receipt following soon after), matching the before-GR scenario.",5.0,three_way_matched_after_gr,1.0,0.6930976510047913,1.2787971172656398e-05
V0079,,The process involves cancellations and debit memos without completing a standard matching or clearance workflow.,,three_way_matched_after_gr,2.0,,0.0004618242383003235
V0080,,"This is an administrative sequence involving creation, deletion, and approval changes without invoice clearance or goods receipt.",,three_way_matched_before_gr,2.0,,0.3538367748260498
V0081,three_way_matched_before_gr,"Vendor creates invoice and Record Invoice Receipt occur before the Record Goods Receipt step, fitting the before-GR matching category.",3.0,three_way_matched_after_gr,1.0,0.3355152904987335,1.2184019396954682e-05
V0082,three_way_matched_after_gr,"Record Goods Receipt occurs before the vendor creates the invoice and records the invoice receipt, realizing the after-GR 3-way match.",4.0,three_way_matched_before_gr,2.0,0.3366834819316864,1.2584835531015415e-05
