2026-09-04 13:58:43,460 [INFO] goalcat: Run environment: host=Mac-Daniel.local, platform=macOS-26.6.2-arm64-arm-64bit-Mach-O, python=3.14.6, cpu_count=8, total_ram_gib=8.0
2026-09-04 13:58:43,461 [INFO] goalcat: ICPM 2027 condition run starting: run_id=icpm2027_e1_label_list_rep1, steps=[6], taxonomy_mode=open, goal_model=None
2026-09-04 13:58:43,461 [INFO] goalcat: Step 6 (narrative assignment) started for log: /Users/danielcalegari/vsc-workspace/GoalCat/data/logs/bpic2019.xes.gz
2026-09-04 13:58:43,462 [INFO] goalcat: Loading profiles/narratives from existing run directory: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_rep1
2026-09-04 13:58:43,902 [INFO] goalcat: Loading taxonomy from: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_rep1/round1/05_taxonomy/taxonomy.json
2026-09-04 13:58:43,925 [INFO] goalcat: Assigning 11973 narratives against 4 categories (model=gemini/gemini-3.5-flash-lite, batch_size=25, concurrency=5)
2026-09-04 13:58:50,539 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=c5c6778d842b1a18, latency=5.05s)
2026-09-04 13:58:50,568 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=6bebe7f1bc9c4c46, latency=5.08s)
2026-09-04 13:58:50,775 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=10d918fda203cecd, latency=5.28s)
2026-09-04 13:58:50,872 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=1b5989b3d18676b1, latency=5.39s)
2026-09-04 13:58:51,212 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=a1f21d0b2a9a9803, latency=5.72s)
2026-09-04 13:58:55,242 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=81b75b5309be0c32, latency=4.70s)
2026-09-04 13:58:55,249 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=7ff430b89c53f233, latency=4.68s)
2026-09-04 13:58:55,386 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=3127b23312786adb, latency=4.61s)
2026-09-04 13:58:56,118 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=cdb56ab5bebf8a9c, latency=5.24s)
2026-09-04 13:58:56,493 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=0afc09748b361c02, latency=5.28s)
