2026-09-04 14:35:21,853 [INFO] goalcat: Run environment: host=Mac-Daniel.local, platform=macOS-26.6.2-arm64-arm-64bit-Mach-O, python=3.14.6, cpu_count=8, total_ram_gib=8.0
2026-09-04 14:35:21,854 [INFO] goalcat: ICPM 2027 condition run starting: run_id=icpm2027_e1_label_list_strict_rep1, steps=[6], taxonomy_mode=intent_guided, goal_model=None
2026-09-04 14:35:21,855 [INFO] goalcat: Step 6 (narrative assignment) started for log: /Users/danielcalegari/vsc-workspace/GoalCat/data/logs/bpic2019.xes.gz
2026-09-04 14:35:21,855 [INFO] goalcat: Loading profiles/narratives from existing run directory: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_strict_rep1
2026-09-04 14:35:22,290 [INFO] goalcat: Loading taxonomy from: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_label_list_strict_rep1/round1/05_taxonomy/taxonomy.json
2026-09-04 14:35:22,306 [INFO] goalcat: Assigning 11973 narratives against 4 categories (model=gemini/gemini-3.5-flash-lite, batch_size=25, concurrency=5)
2026-09-04 14:35:28,619 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=ee53dac176e29da0, latency=4.69s)
2026-09-04 14:35:28,727 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=eff44f312bcd490f, latency=4.79s)
2026-09-04 14:35:28,997 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=0ce8db4576b0e743, latency=5.06s)
2026-09-04 14:35:29,026 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=40cba2e3c04824ca, latency=5.09s)
2026-09-04 14:35:29,492 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=678cbc81219978bb, latency=5.56s)
2026-09-04 14:35:33,376 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=3d8d7f8b6dd76d8b, latency=4.65s)
