2026-08-30 22:05:10,438 [INFO] goalcat: Run environment: host=192.168.68.56, platform=macOS-26.5.2-arm64-arm-64bit-Mach-O, python=3.14.6, cpu_count=8, total_ram_gib=8.0
2026-08-30 22:05:10,439 [INFO] goalcat: ICPM 2027 condition run starting: run_id=icpm2027_e1_open_rep1, steps=[5, 6], taxonomy_mode=open, goal_model=None
2026-08-30 22:05:10,442 [INFO] goalcat: Step 5b (open taxonomy induction) started for log: /Users/danielcalegari/vsc-workspace/GoalCat/data/logs/bpic2019.xes.gz
2026-08-30 22:05:10,442 [INFO] goalcat: Loading narrative sample from existing run directory: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_open_rep1/04_sampling/narrative_sample.csv
2026-08-30 22:05:10,453 [INFO] goalcat: Inducing taxonomy from 35 sampled narratives (no goal model)
2026-08-30 22:06:01,361 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=6f7487d872673ef6, latency=49.01s)
2026-08-30 22:06:01,362 [INFO] goalcat: Induced 5 categories: standard_procure_to_pay, quick_cancellation_or_completion, service_entry_execution, srm_integration_failure, extreme_rework_and_delay
2026-08-30 22:06:01,362 [INFO] goalcat: Taxonomy grounding check: no problems found.
2026-08-30 22:06:01,364 [INFO] goalcat: Saved taxonomy to: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_open_rep1/round1/05_taxonomy/taxonomy.json
2026-08-30 22:06:01,364 [INFO] goalcat: Step 5b complete.
2026-08-30 22:06:01,364 [INFO] goalcat: Peak RSS after Step 5b: 385.5 MiB
2026-08-30 22:06:01,366 [INFO] goalcat: Step 6 (narrative assignment) started for log: /Users/danielcalegari/vsc-workspace/GoalCat/data/logs/bpic2019.xes.gz
2026-08-30 22:06:01,366 [INFO] goalcat: Loading profiles/narratives from existing run directory: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_open_rep1
2026-08-30 22:06:02,095 [INFO] goalcat: Loading taxonomy from: /Users/danielcalegari/vsc-workspace/GoalCat/data/output/bpic2019/icpm2027_e1_open_rep1/round1/05_taxonomy/taxonomy.json
2026-08-30 22:06:02,118 [INFO] goalcat: Assigning 11973 narratives against 5 categories (model=gemini/gemini-3.5-flash-lite, batch_size=25, concurrency=5)
2026-08-30 22:06:08,015 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=32628a946f24e984, latency=5.43s)
2026-08-30 22:06:08,021 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=73c739f38edba519, latency=5.45s)
2026-08-30 22:06:08,788 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=b1614642b4c7a708, latency=6.20s)
2026-08-30 22:06:12,003 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=c733e13393e212ea, latency=3.99s)
2026-08-30 22:06:13,540 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=a69b0fe7d90f57c0, latency=4.75s)
2026-08-30 22:06:13,720 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=94feae84197b6f77, latency=11.14s)
2026-08-30 22:06:16,613 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=de4c5709fc296c38, latency=4.61s)
2026-08-30 22:06:18,046 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=dd22c643c85d08fa, latency=4.33s)
2026-08-30 22:06:20,506 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=4dd784f5a1127dd9, latency=17.93s)
2026-08-30 22:06:21,529 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=9446c7bbc48cd7ad, latency=4.92s)
2026-08-30 22:06:24,702 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=2e5ab5dde75218c3, latency=4.19s)
2026-08-30 22:06:26,238 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=31615b061efc8c1e, latency=4.71s)
2026-08-30 22:06:29,824 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=51f736ca90260167, latency=21.80s)
2026-08-30 22:06:30,744 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=5f6f1898e8d366d0, latency=4.50s)
2026-08-30 22:06:32,587 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=8338db96ad32efca, latency=14.54s)
2026-08-30 22:06:35,131 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=677bb91e25d32511, latency=4.39s)
2026-08-30 22:06:35,557 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=849601c7f0b57a24, latency=10.85s)
2026-08-30 22:06:35,601 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=c2df837502920c37, latency=5.78s)
2026-08-30 22:06:39,653 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=224d55e1d9c90839, latency=4.52s)
2026-08-30 22:06:44,254 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=6ae89be674939763, latency=4.60s)
2026-08-30 22:06:54,916 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=9afbee9804209546, latency=41.37s)
2026-08-30 22:06:58,801 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=4541420edd49c228, latency=14.55s)
2026-08-30 22:07:00,850 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=778eb611b489e6e4, latency=28.26s)
2026-08-30 22:07:05,803 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=fab1a3a983d9d81d, latency=4.95s)
2026-08-30 22:07:09,759 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=b220c077f75a5632, latency=14.84s)
2026-08-30 22:07:09,948 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=85dba9060d9bd24c, latency=4.14s)
2026-08-30 22:07:12,114 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=5492796ee8dff6ed, latency=13.31s)
2026-08-30 22:07:12,421 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=7142952a210d959d, latency=36.82s)
2026-08-30 22:07:14,061 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=192fdc3798d2f443, latency=4.11s)
2026-08-30 22:07:14,367 [INFO] goalcat: LLM structured call ok (backend=remote, model=gemini/gemini-3.5-flash-lite, prompt_hash=1eae78856b979358, latency=38.81s)
