variant_id,activity_sequence,trace_length,frequency,frequency_pct,representative_case_id,duration_seconds_mean,duration_seconds_median,duration_seconds_min,duration_seconds_max,outcome,rework,resource_distribution
V0001,Create Fine>Send Fine>Insert Fine Notification>Add penalty>Send for Credit Collection,5,56482,0.3756201369954113,A10436,59592117.828688785,55123200.0,23587200.0,296953200.0,Send for Credit Collection,{},"{""538"": 3905, ""550"": 3170, ""537"": 2665, ""541"": 2652, ""536"": 2310, ""559"": 2001, ""49"": 1604, ""557"": 1560, ""29"": 1357, ""40"": 1149, ""561"": 1094, ""11"": 1091, ""558"": 1083, ""548"": 1045, ""30"": 988, ""53"": 973, ""28"": 927, ""546"": 639, ""31"": 595, ""560"": 551, ""63"": 498, ""820"": 493, ""26"": 492, ""851"": 488, ""563"": 485, ""50"": 471, ""57"": 454, ""852"": 454, ""36"": 450, ""831"": 438, ""858"": 424, ""45"": 416, ""39"": 403, ""824"": 390, ""850"": 388, ""825"": 387, ""704"": 382, ""829"": 381, ""56"": 373, ""9"": 365, ""828"": 358, ""556"": 356, ""848"": 356, ""839"": 354, ""35"": 346, ""847"": 338, ""552"": 336, ""555"": 333, ""37"": 332, ""44"": 325, ""562"": 324, ""41"": 320, ""802"": 319, ""823"": 319, ""821"": 317, ""565"": 313, ""540"": 307, ""564"": 305, ""827"": 300, ""42"": 299, ""810"": 284, ""857"": 284, ""849"": 263, ""854"": 257, ""46"": 252, ""34"": 246, ""52"": 239, ""833"": 238, ""25"": 238, ""27"": 235, ""836"": 230, ""846"": 215, ""816"": 212, ""16"": 211, ""566"": 207, ""838"": 203, ""32"": 200, ""21"": 194, ""48"": 184, ""840"": 183, ""855"": 183, ""58"": 179, ""834"": 178, ""819"": 169, ""832"": 162, ""817"": 160, ""826"": 155, ""20"": 154, ""856"": 150, ""830"": 144, ""807"": 143, ""22"": 142, ""65"": 135, ""837"": 134, ""842"": 133, ""47"": 129, ""568"": 127, ""43"": 126, ""59"": 124, ""33"": 122, ""808"": 116, ""62"": 108, ""54"": 106, ""811"": 104, ""554"": 104, ""813"": 99, ""859"": 97, ""861"": 96, ""860"": 96, ""843"": 94, ""844"": 94, ""24"": 92, ""818"": 92, ""841"": 91, ""845"": 86, ""835"": 84, ""15"": 84, ""10"": 75, ""12"": 75, ""23"": 75, ""553"": 65, ""60"": 63, ""567"": 60, ""55"": 48, ""551"": 47, ""61"": 45, ""66"": 43, ""51"": 28, ""38"": 27, ""17"": 26, ""853"": 26, ""18"": 20, ""8"": 14, ""64"": 12, ""3"": 10, ""4"": 3, ""19"": 3, ""14"": 2}"
V0002,Create Fine>Payment,2,46371,0.3083793309835738,A10047,889691.8936404218,432000.0,0.0,83113200.0,Payment,{},"{""541"": 2372, ""550"": 2370, ""559"": 2262, ""537"": 2087, ""557"": 2017, ""538"": 2016, ""561"": 1603, ""49"": 1470, ""558"": 1395, ""536"": 1102, ""40"": 1078, ""53"": 996, ""28"": 629, ""546"": 591, ""852"": 535, ""560"": 523, ""50"": 523, ""11"": 513, ""31"": 504, ""63"": 500, ""45"": 487, ""30"": 483, ""26"": 475, ""847"": 450, ""9"": 449, ""851"": 436, ""563"": 429, ""57"": 426, ""562"": 406, ""820"": 402, ""848"": 401, ""850"": 397, ""39"": 389, ""56"": 388, ""564"": 365, ""552"": 338, ""555"": 337, ""29"": 333, ""849"": 326, ""556"": 325, ""824"": 322, ""548"": 311, ""565"": 309, ""854"": 300, ""846"": 297, ""58"": 294, ""858"": 281, ""42"": 274, ""37"": 259, ""46"": 254, ""48"": 247, ""831"": 243, ""44"": 243, ""829"": 241, ""857"": 237, ""823"": 220, ""41"": 218, ""52"": 214, ""810"": 199, ""802"": 197, ""704"": 193, ""861"": 193, ""47"": 191, ""825"": 189, ""840"": 188, ""62"": 181, ""20"": 181, ""566"": 178, ""827"": 177, ""828"": 166, ""821"": 166, ""842"": 162, ""839"": 160, ""855"": 160, ""43"": 151, ""36"": 148, ""16"": 142, ""540"": 142, ""838"": 138, ""21"": 130, ""841"": 129, ""816"": 129, ""65"": 125, ""836"": 121, ""54"": 120, ""833"": 116, ""568"": 115, ""856"": 115, ""867"": 114, ""843"": 113, ""32"": 112, ""35"": 108, ""34"": 107, ""567"": 103, ""832"": 103, ""59"": 103, ""817"": 103, ""844"": 101, ""826"": 99, ""819"": 98, ""60"": 97, ""866"": 97, ""554"": 95, ""859"": 94, ""845"": 93, ""22"": 92, ""834"": 92, ""24"": 91, ""868"": 91, ""865"": 90, ""830"": 87, ""862"": 85, ""10"": 84, ""860"": 84, ""27"": 82, ""55"": 82, ""837"": 82, ""807"": 72, ""808"": 72, ""66"": 71, ""811"": 68, ""864"": 67, ""38"": 62, ""813"": 55, ""553"": 54, ""61"": 53, ""818"": 48, ""835"": 47, ""12"": 46, ""33"": 43, ""25"": 40, ""15"": 39, ""853"": 26, ""51"": 24, ""64"": 19, ""869"": 16, ""23"": 15, ""551"": 15, ""870"": 13, ""17"": 12, ""18"": 8, ""8"": 3, ""14"": 3, ""3"": 2, ""19"": 2}"
V0003,Create Fine>Send Fine,2,20385,0.1355656048413912,A11066,8381124.768211921,8726400.0,0.0,37756800.0,Send Fine,{},"{""559"": 1186, ""538"": 1150, ""541"": 1087, ""550"": 995, ""557"": 951, ""537"": 947, ""561"": 706, ""49"": 699, ""558"": 643, ""536"": 603, ""53"": 414, ""40"": 408, ""11"": 317, ""560"": 296, ""63"": 276, ""29"": 271, ""563"": 268, ""28"": 248, ""50"": 228, ""546"": 226, ""548"": 220, ""556"": 196, ""852"": 195, ""564"": 189, ""851"": 185, ""555"": 184, ""56"": 180, ""45"": 180, ""562"": 178, ""847"": 178, ""26"": 172, ""552"": 171, ""30"": 167, ""565"": 164, ""831"": 158, ""41"": 157, ""850"": 156, ""39"": 155, ""31"": 143, ""57"": 140, ""858"": 139, ""848"": 134, ""849"": 128, ""9"": 127, ""820"": 126, ""566"": 122, ""854"": 116, ""540"": 112, ""44"": 110, ""857"": 109, ""839"": 104, ""824"": 100, ""42"": 99, ""48"": 95, ""37"": 93, ""846"": 91, ""25"": 89, ""52"": 88, ""58"": 79, ""65"": 77, ""823"": 73, ""568"": 72, ""829"": 71, ""46"": 71, ""861"": 70, ""821"": 68, ""825"": 67, ""36"": 66, ""21"": 64, ""828"": 63, ""704"": 63, ""802"": 63, ""833"": 60, ""47"": 60, ""16"": 58, ""840"": 58, ""35"": 55, ""855"": 55, ""827"": 53, ""842"": 53, ""836"": 53, ""810"": 52, ""62"": 51, ""834"": 51, ""837"": 50, ""856"": 49, ""832"": 49, ""567"": 47, ""838"": 47, ""43"": 47, ""20"": 42, ""554"": 41, ""816"": 40, ""59"": 38, ""22"": 38, ""841"": 37, ""844"": 35, ""34"": 35, ""819"": 34, ""60"": 34, ""54"": 33, ""830"": 32, ""553"": 31, ""860"": 31, ""24"": 30, ""32"": 30, ""843"": 29, ""66"": 29, ""868"": 28, ""835"": 28, ""23"": 27, ""866"": 27, ""867"": 27, ""61"": 26, ""865"": 26, ""10"": 25, ""845"": 24, ""38"": 21, ""862"": 19, ""12"": 18, ""870"": 18, ""27"": 17, ""859"": 17, ""551"": 16, ""55"": 14, ""864"": 13, ""817"": 11, ""818"": 9, ""853"": 8, ""15"": 8, ""33"": 7, ""807"": 7, ""811"": 7, ""64"": 6, ""808"": 6, ""826"": 5, ""17"": 5, ""813"": 4, ""18"": 3, ""869"": 1, ""8"": 1, ""14"": 1, ""3"": 1, ""51"": 1}"
V0004,Create Fine>Send Fine>Insert Fine Notification>Add penalty>Payment,5,9520,0.0633105007647802,N92081,35038655.168067224,36543600.0,5180400.0,142304400.0,Payment,{},"{""541"": 483, ""559"": 459, ""537"": 446, ""557"": 416, ""550"": 413, ""538"": 400, ""49"": 366, ""561"": 321, ""558"": 317, ""40"": 280, ""53"": 223, ""29"": 180, ""536"": 170, ""28"": 153, ""63"": 143, ""560"": 140, ""50"": 139, ""11"": 124, ""563"": 118, ""57"": 113, ""31"": 111, ""30"": 109, ""45"": 109, ""852"": 109, ""546"": 109, ""562"": 104, ""564"": 102, ""851"": 99, ""552"": 93, ""556"": 92, ""42"": 91, ""39"": 90, ""56"": 89, ""44"": 88, ""26"": 87, ""858"": 87, ""850"": 85, ""555"": 83, ""9"": 81, ""848"": 77, ""37"": 73, ""847"": 70, ""46"": 63, ""565"": 62, ""857"": 59, ""849"": 55, ""566"": 54, ""48"": 51, ""52"": 47, ""820"": 45, ""824"": 44, ""47"": 44, ""854"": 43, ""41"": 42, ""36"": 41, ""21"": 39, ""846"": 39, ""842"": 38, ""554"": 38, ""704"": 37, ""840"": 37, ""58"": 37, ""855"": 34, ""841"": 32, ""59"": 31, ""860"": 31, ""43"": 28, ""568"": 27, ""16"": 27, ""24"": 26, ""62"": 26, ""25"": 26, ""54"": 25, ""548"": 25, ""861"": 25, ""823"": 24, ""831"": 24, ""567"": 23, ""829"": 23, ""32"": 23, ""35"": 22, ""843"": 22, ""844"": 22, ""65"": 22, ""825"": 21, ""20"": 21, ""540"": 21, ""839"": 19, ""34"": 18, ""845"": 18, ""856"": 18, ""810"": 17, ""553"": 17, ""802"": 16, ""833"": 16, ""55"": 15, ""551"": 15, ""38"": 15, ""60"": 15, ""817"": 14, ""828"": 14, ""827"": 14, ""838"": 14, ""816"": 14, ""61"": 14, ""859"": 14, ""821"": 13, ""27"": 13, ""868"": 13, ""10"": 11, ""837"": 10, ""830"": 9, ""862"": 9, ""866"": 9, ""867"": 9, ""808"": 9, ""813"": 8, ""826"": 8, ""819"": 8, ""834"": 8, ""836"": 8, ""832"": 7, ""22"": 7, ""66"": 7, ""865"": 7, ""807"": 7, ""12"": 6, ""33"": 6, ""818"": 5, ""15"": 5, ""811"": 5, ""835"": 4, ""51"": 4, ""18"": 4, ""23"": 4, ""17"": 3, ""869"": 3, ""64"": 2, ""864"": 2, ""4"": 1, ""853"": 1}"
V0005,Create Fine>Send Fine>Insert Fine Notification>Add penalty>Payment>Payment,6,3736,0.024845381392565,N23619,27488014.88222698,23416200.0,6566400.0,120960000.0,Payment,"{""Payment"": 3736}","{""538"": 205, ""550"": 195, ""541"": 177, ""559"": 161, ""537"": 155, ""557"": 140, ""536"": 120, ""49"": 108, ""561"": 100, ""29"": 86, ""558"": 83, ""28"": 71, ""53"": 69, ""30"": 65, ""11"": 64, ""40"": 61, ""548"": 51, ""546"": 46, ""852"": 45, ""562"": 44, ""56"": 43, ""9"": 40, ""820"": 39, ""63"": 38, ""560"": 36, ""851"": 36, ""26"": 35, ""39"": 35, ""31"": 33, ""36"": 32, ""45"": 32, ""563"": 31, ""50"": 31, ""556"": 30, ""858"": 29, ""564"": 28, ""827"": 28, ""552"": 27, ""847"": 27, ""850"": 27, ""704"": 26, ""825"": 25, ""555"": 25, ""848"": 25, ""565"": 24, ""823"": 24, ""854"": 24, ""37"": 22, ""828"": 20, ""44"": 20, ""846"": 20, ""57"": 19, ""48"": 19, ""849"": 19, ""857"": 19, ""829"": 19, ""831"": 19, ""52"": 18, ""833"": 17, ""802"": 17, ""32"": 16, ""42"": 16, ""35"": 15, ""840"": 15, ""839"": 15, ""21"": 14, ""821"": 14, ""810"": 14, ""566"": 13, ""34"": 13, ""58"": 13, ""836"": 12, ""46"": 12, ""824"": 12, ""47"": 12, ""41"": 12, ""62"": 12, ""819"": 11, ""540"": 11, ""861"": 11, ""816"": 11, ""27"": 10, ""837"": 10, ""834"": 10, ""20"": 10, ""16"": 10, ""855"": 10, ""568"": 9, ""12"": 9, ""859"": 9, ""817"": 9, ""838"": 9, ""832"": 9, ""25"": 9, ""10"": 8, ""856"": 8, ""65"": 8, ""59"": 8, ""554"": 8, ""553"": 8, ""24"": 8, ""843"": 8, ""826"": 8, ""807"": 8, ""842"": 7, ""866"": 7, ""33"": 7, ""830"": 7, ""43"": 6, ""813"": 6, ""835"": 6, ""841"": 5, ""844"": 5, ""22"": 5, ""845"": 5, ""61"": 4, ""60"": 4, ""860"": 4, ""865"": 4, ""868"": 4, ""862"": 4, ""17"": 4, ""18"": 4, ""567"": 3, ""551"": 3, ""38"": 3, ""66"": 3, ""808"": 3, ""811"": 3, ""818"": 3, ""15"": 3, ""54"": 2, ""23"": 2, ""853"": 2, ""864"": 2, ""867"": 2, ""55"": 2, ""64"": 1}"
V0006,Create Fine>Send Fine>Insert Fine Notification>Payment>Add penalty>Payment,6,3301,0.0219525171244264,N23522,22267831.081490457,19177200.0,5184000.0,110851200.0,Payment,"{""Payment"": 3301}","{""538"": 288, ""550"": 245, ""537"": 216, ""541"": 196, ""536"": 144, ""557"": 101, ""558"": 85, ""559"": 82, ""29"": 80, ""11"": 74, ""546"": 69, ""555"": 66, ""30"": 55, ""552"": 50, ""36"": 49, ""28"": 47, ""548"": 46, ""704"": 45, ""561"": 42, ""820"": 38, ""831"": 38, ""49"": 36, ""829"": 36, ""35"": 35, ""823"": 35, ""53"": 33, ""802"": 32, ""31"": 31, ""825"": 31, ""824"": 27, ""9"": 27, ""828"": 27, ""37"": 26, ""840"": 25, ""556"": 24, ""26"": 24, ""50"": 23, ""821"": 23, ""40"": 22, ""45"": 21, ""33"": 21, ""816"": 20, ""27"": 19, ""20"": 19, ""827"": 19, ""22"": 18, ""560"": 17, ""540"": 17, ""58"": 17, ""42"": 17, ""32"": 17, ""826"": 17, ""34"": 16, ""44"": 16, ""810"": 16, ""57"": 15, ""839"": 15, ""21"": 14, ""554"": 14, ""553"": 14, ""835"": 14, ""833"": 14, ""56"": 13, ""841"": 13, ""819"": 13, ""830"": 13, ""10"": 12, ""563"": 11, ""48"": 11, ""46"": 11, ""817"": 11, ""818"": 11, ""832"": 11, ""834"": 10, ""807"": 10, ""811"": 10, ""836"": 10, ""564"": 9, ""39"": 9, ""813"": 9, ""837"": 9, ""41"": 8, ""12"": 8, ""16"": 8, ""15"": 8, ""838"": 8, ""25"": 8, ""52"": 7, ""845"": 7, ""562"": 6, ""842"": 6, ""843"": 6, ""55"": 5, ""808"": 5, ""844"": 4, ""47"": 4, ""43"": 4, ""24"": 4, ""38"": 4, ""17"": 3, ""23"": 3, ""51"": 3, ""54"": 3, ""854"": 2, ""8"": 2, ""18"": 2, ""566"": 1, ""565"": 1, ""551"": 1, ""850"": 1, ""847"": 1, ""860"": 1, ""869"": 1}"
V0007,Create Fine>Send Fine>Payment,3,3131,0.0208219724679124,N33420,10148164.292558288,8467200.0,604800.0,148698000.0,Payment,{},"{""538"": 243, ""550"": 211, ""11"": 151, ""536"": 147, ""537"": 140, ""541"": 109, ""548"": 96, ""30"": 93, ""831"": 92, ""29"": 90, ""839"": 73, ""28"": 67, ""829"": 64, ""825"": 60, ""820"": 58, ""802"": 56, ""834"": 51, ""828"": 50, ""810"": 47, ""559"": 46, ""821"": 43, ""557"": 42, ""832"": 42, ""824"": 41, ""25"": 40, ""833"": 38, ""836"": 38, ""838"": 37, ""827"": 35, ""823"": 35, ""561"": 33, ""35"": 31, ""49"": 31, ""837"": 30, ""704"": 27, ""31"": 27, ""53"": 27, ""816"": 26, ""546"": 25, ""32"": 25, ""40"": 24, ""835"": 23, ""558"": 22, ""34"": 22, ""819"": 22, ""540"": 21, ""22"": 20, ""36"": 20, ""27"": 19, ""26"": 19, ""16"": 18, ""830"": 17, ""45"": 12, ""63"": 11, ""20"": 11, ""50"": 10, ""33"": 10, ""818"": 9, ""56"": 8, ""813"": 8, ""563"": 7, ""565"": 7, ""852"": 7, ""846"": 7, ""817"": 7, ""37"": 6, ""9"": 6, ""847"": 6, ""851"": 6, ""808"": 6, ""845"": 5, ""21"": 5, ""811"": 5, ""58"": 4, ""44"": 4, ""39"": 4, ""52"": 4, ""848"": 4, ""850"": 4, ""858"": 4, ""857"": 4, ""849"": 4, ""15"": 4, ""560"": 3, ""562"": 3, ""840"": 3, ""65"": 3, ""854"": 3, ""62"": 3, ""860"": 3, ""807"": 3, ""826"": 3, ""564"": 2, ""555"": 2, ""841"": 2, ""60"": 2, ""57"": 2, ""46"": 2, ""24"": 2, ""861"": 2, ""862"": 2, ""66"": 2, ""47"": 1, ""843"": 1, ""844"": 1, ""42"": 1, ""43"": 1, ""54"": 1, ""61"": 1, ""856"": 1, ""859"": 1, ""59"": 1, ""41"": 1, ""869"": 1, ""865"": 1, ""866"": 1, ""48"": 1, ""13"": 1, ""8"": 1, ""23"": 1, ""17"": 1, ""18"": 1, ""51"": 1}"
V0008,Create Fine>Send Fine>Insert Fine Notification>Insert Date Appeal to Prefecture>Add penalty>Send Appeal to Prefecture,6,2497,0.016605705925384,N94802,36266242.85142171,17452800.0,5184000.0,377740800.0,Send Appeal to Prefecture,{},"{""49"": 143, ""538"": 92, ""537"": 89, ""559"": 89, ""557"": 86, ""53"": 86, ""541"": 84, ""40"": 77, ""29"": 76, ""550"": 73, ""11"": 66, ""561"": 52, ""39"": 52, ""558"": 47, ""28"": 46, ""30"": 45, ""56"": 42, ""536"": 38, ""9"": 38, ""45"": 37, ""50"": 36, ""63"": 33, ""26"": 31, ""847"": 31, ""852"": 31, ""31"": 29, ""560"": 27, ""44"": 27, ""37"": 27, ""851"": 27, ""57"": 25, ""546"": 25, ""58"": 24, ""563"": 23, ""849"": 23, ""564"": 20, ""840"": 20, ""848"": 20, ""846"": 20, ""36"": 19, ""47"": 18, ""552"": 18, ""52"": 18, ""857"": 18, ""35"": 17, ""42"": 17, ""562"": 16, ""823"": 16, ""41"": 16, ""844"": 16, ""854"": 16, ""842"": 15, ""556"": 14, ""850"": 14, ""65"": 14, ""16"": 13, ""62"": 13, ""858"": 13, ""824"": 12, ""59"": 12, ""34"": 11, ""21"": 11, ""25"": 11, ""46"": 10, ""555"": 10, ""841"": 10, ""48"": 10, ""861"": 10, ""20"": 9, ""860"": 9, ""868"": 9, ""54"": 8, ""820"": 8, ""704"": 7, ""855"": 7, ""831"": 7, ""548"": 6, ""551"": 6, ""60"": 6, ""856"": 6, ""566"": 5, ""867"": 5, ""866"": 5, ""32"": 5, ""817"": 5, ""843"": 4, ""24"": 4, ""859"": 4, ""826"": 4, ""816"": 4, ""829"": 4, ""837"": 4, ""565"": 3, ""23"": 3, ""540"": 3, ""554"": 3, ""845"": 3, ""43"": 3, ""839"": 3, ""862"": 3, ""22"": 3, ""810"": 3, ""830"": 3, ""827"": 3, ""832"": 3, ""833"": 3, ""55"": 3, ""567"": 2, ""553"": 2, ""61"": 2, ""38"": 2, ""66"": 2, ""865"": 2, ""864"": 2, ""819"": 2, ""808"": 2, ""811"": 2, ""802"": 2, ""821"": 2, ""15"": 2, ""10"": 2, ""568"": 1, ""12"": 1, ""13"": 1, ""853"": 1, ""64"": 1, ""869"": 1, ""17"": 1, ""18"": 1, ""813"": 1, ""27"": 1, ""807"": 1, ""818"": 1, ""835"": 1, ""836"": 1, ""825"": 1, ""828"": 1, ""838"": 1, ""834"": 1}"
V0009,Create Fine>Send Fine>Insert Fine Notification>Add penalty>Payment>Send for Credit Collection,6,1515,0.0100751479683447,S57432,58289847.92079208,53744400.0,32742000.0,131155200.0,Send for Credit Collection,{},"{""538"": 104, ""550"": 87, ""29"": 63, ""537"": 60, ""536"": 60, ""541"": 58, ""559"": 55, ""557"": 43, ""49"": 37, ""558"": 32, ""53"": 31, ""11"": 29, ""40"": 28, ""561"": 26, ""30"": 24, ""851"": 20, ""852"": 20, ""820"": 20, ""35"": 19, ""831"": 19, ""28"": 17, ""546"": 17, ""548"": 17, ""31"": 15, ""57"": 15, ""839"": 14, ""39"": 14, ""25"": 13, ""823"": 13, ""858"": 13, ""9"": 12, ""45"": 12, ""37"": 12, ""56"": 12, ""824"": 12, ""704"": 11, ""552"": 11, ""36"": 11, ""829"": 10, ""540"": 10, ""825"": 10, ""828"": 10, ""562"": 9, ""556"": 9, ""42"": 9, ""44"": 9, ""555"": 9, ""857"": 9, ""816"": 9, ""821"": 9, ""836"": 9, ""565"": 8, ""32"": 8, ""817"": 8, ""34"": 8, ""48"": 8, ""841"": 8, ""50"": 8, ""847"": 8, ""848"": 8, ""850"": 8, ""63"": 8, ""802"": 8, ""564"": 7, ""560"": 7, ""554"": 7, ""41"": 7, ""827"": 7, ""834"": 6, ""46"": 6, ""47"": 6, ""21"": 6, ""855"": 6, ""849"": 6, ""819"": 6, ""833"": 6, ""842"": 5, ""861"": 5, ""58"": 5, ""15"": 5, ""568"": 4, ""54"": 4, ""26"": 4, ""856"": 4, ""846"": 4, ""52"": 4, ""810"": 4, ""830"": 4, ""838"": 4, ""840"": 4, ""566"": 3, ""27"": 3, ""33"": 3, ""844"": 3, ""65"": 3, ""62"": 3, ""854"": 3, ""860"": 3, ""859"": 3, ""22"": 3, ""20"": 3, ""808"": 3, ""811"": 3, ""845"": 3, ""563"": 2, ""567"": 2, ""59"": 2, ""60"": 2, ""813"": 2, ""807"": 2, ""818"": 2, ""832"": 2, ""835"": 2, ""16"": 2, ""55"": 2, ""10"": 2, ""826"": 1, ""66"": 1, ""553"": 1, ""551"": 1, ""853"": 1, ""64"": 1, ""43"": 1, ""61"": 1, ""24"": 1, ""837"": 1, ""843"": 1, ""38"": 1, ""12"": 1}"
V0010,Create Fine>Send Fine>Insert Fine Notification>Payment>Add penalty>Send for Credit Collection,6,522,0.0034714371217663,N42364,54311910.344827585,49899600.0,34128000.0,126316800.0,Send for Credit Collection,{},"{""538"": 48, ""550"": 39, ""536"": 37, ""541"": 23, ""537"": 22, ""558"": 21, ""11"": 20, ""559"": 16, ""561"": 11, ""548"": 11, ""552"": 11, ""30"": 11, ""831"": 10, ""704"": 9, ""557"": 7, ""31"": 7, ""820"": 7, ""546"": 6, ""58"": 6, ""28"": 6, ""37"": 6, ""22"": 6, ""829"": 6, ""834"": 5, ""555"": 5, ""824"": 5, ""35"": 5, ""823"": 5, ""827"": 5, ""816"": 5, ""839"": 5, ""42"": 4, ""840"": 4, ""40"": 4, ""53"": 4, ""12"": 4, ""34"": 4, ""828"": 4, ""29"": 4, ""20"": 4, ""51"": 4, ""556"": 3, ""46"": 3, ""49"": 3, ""44"": 3, ""45"": 3, ""48"": 3, ""16"": 3, ""808"": 3, ""802"": 3, ""810"": 3, ""837"": 3, ""819"": 3, ""26"": 3, ""36"": 3, ""15"": 3, ""21"": 3, ""57"": 3, ""554"": 2, ""553"": 2, ""560"": 2, ""50"": 2, ""47"": 2, ""39"": 2, ""817"": 2, ""833"": 2, ""832"": 2, ""38"": 2, ""54"": 2, ""56"": 2, ""841"": 2, ""25"": 2, ""563"": 1, ""540"": 1, ""842"": 1, ""845"": 1, ""848"": 1, ""852"": 1, ""9"": 1, ""33"": 1, ""811"": 1, ""826"": 1, ""813"": 1, ""32"": 1, ""830"": 1, ""838"": 1, ""821"": 1, ""844"": 1, ""55"": 1}"
