variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,standard_collection,"Follows standard notification, penalty addition, and eventually progresses to credit collection due to non-payment.",2.0,delayed_payment,1.0,0.017613617703318596,0.006028205621987581
V0002,direct_payment,Paid quickly after creation with minimal steps and no escalation or penalties.,1.0,delayed_payment,2.0,0.15741999447345734,0.15407751500606537
V0003,,"Ends in sending fine without payment, collection, or penalty escalation, thus fitting no standard category.",,direct_payment,1.0,,0.33492860198020935
V0004,delayed_payment,"Involves notification and penalties, followed by a payment after a moderate delay.",2.0,standard_collection,1.0,0.3405536413192749,0.005250209476798773
V0005,delayed_payment,"Undergoes standard notification and penalty addition, followed by delayed payments.",1.0,standard_collection,1.0,0.01632649265229702,0.004696203395724297
V0006,delayed_payment,"Involves notification and penalty addition, followed by payments after delays.",2.0,standard_collection,1.0,0.026891911402344704,0.005869216751307249
V0007,direct_payment,Payment is made relatively quickly after sending the fine without penalties or extensive escalation.,0.0,delayed_payment,1.0,0.0,0.00334247131831944
V0008,appeal_process,Involves submitting an appeal to the prefecture.,2.0,delayed_payment,1.0,0.3540813624858856,0.011704887263476849
V0009,standard_collection,"Despite an interim payment, it ultimately progresses to credit collection following notification and penalties.",2.0,delayed_payment,1.0,0.018953761085867882,0.007368349935859442
V0010,standard_collection,"Follows notification, penalty, and ultimately ends in credit collection.",3.0,delayed_payment,1.0,0.02288070321083069,0.011295292526483536
V0011,appeal_process,Process involves sending an appeal to the prefecture.,3.0,delayed_payment,1.0,0.34813210368156433,0.0057556480169296265
V0012,,"Unusual path of payment occurring before fine is sent, matching no standard category.",,direct_payment,1.0,,0.33692148327827454
V0013,appeal_process,"Involves the full prefecture appeal path including results and notification, followed by payment.",2.0,delayed_payment,1.0,0.004248257726430893,0.0031689032912254333
V0014,,Involves an appeal to a judge rather than the prefecture appeal path.,,delayed_payment,1.0,,0.0032684020698070526
V0015,appeal_process,Involves appeal submission to the prefecture.,4.0,delayed_payment,1.0,0.3750112056732178,0.03263473138213158
V0016,appeal_process,"Follows the prefecture appeal path including receiving and notifying results, ending in payment.",2.0,delayed_payment,1.0,0.003469478338956833,0.00037261247052811086
V0017,,"Involves an appeal to a judge and ends in credit collection, fitting none of the categories precisely.",,standard_collection,1.0,,0.00012474872346501797
V0018,delayed_payment,Undergoes notification and penalties before a delayed payment.,3.0,standard_collection,1.0,0.026644207537174225,0.005621511023491621
V0019,appeal_process,"Involves the prefecture appeal path, ending in credit collection.",2.0,standard_collection,1.0,0.3908348083496094,0.0002084532316075638
V0020,appeal_process,Follows the prefecture appeal path and ends in credit collection.,2.0,standard_collection,1.0,0.37945786118507385,0.0028892019763588905
V0021,chronic_rework_payment,Extremely long trace featuring a high frequency of repeated payment steps spanning many months.,3.0,delayed_payment,1.0,0.00758337089791894,0.00115015113260597
V0022,appeal_process,Involves the prefecture appeal path and subsequent payment.,3.0,delayed_payment,1.0,0.013098791241645813,0.0001379527966491878
V0023,direct_payment,Quick payment process with repeated payments over a short duration.,1.0,delayed_payment,1.0,0.33931636810302734,0.011123479343950748
V0024,delayed_payment,"Involves notification, penalty, and delayed payment with installments.",3.0,standard_collection,1.0,0.030828630551695824,0.0094001991674304
V0025,appeal_process,Involves the prefecture appeal path ending in credit collection.,3.0,standard_collection,1.0,0.38904187083244324,0.0011834870092570782
V0026,standard_collection,"Standard collection path with notification, penalty, and credit collection.",3.0,delayed_payment,1.0,0.014474612660706043,0.0028892019763588905
V0027,appeal_process,Involves the prefecture appeal path followed by an appeal to a judge.,2.0,standard_collection,1.0,0.3362588882446289,0.3378249406814575
V0028,delayed_payment,Delayed payment involving multiple payment installments without penalties.,3.0,direct_payment,1.0,0.05621231719851494,0.0050190407782793045
V0029,,"Involves notification and penalty, but terminates at appeal to judge.",,standard_collection,1.0,,0.0012033804086968303
V0030,appeal_process,Involves the prefecture appeal path up to notifying the result.,1.0,standard_collection,2.0,0.3452891409397125,0.33343949913978577
V0031,,"Involves appeal to judge and subsequent delayed payment, fitting no single category well.",,delayed_payment,1.0,,0.0013200849061831832
V0032,appeal_process,Involves the prefecture appeal path up to receiving results.,2.0,delayed_payment,1.0,0.3607853651046753,0.3434443473815918
V0033,appeal_process,"Involves the prefecture appeal path, an appeal to a judge, and delayed payment.",3.0,standard_collection,1.0,0.03496265038847923,0.004574260208755732
V0034,appeal_process,Involves the prefecture appeal path up to notifying results.,2.0,delayed_payment,2.0,0.3404230773448944,0.3352867066860199
V0035,appeal_process,Involves prefecture appeal path followed by an appeal to a judge.,2.0,standard_collection,1.0,0.33522459864616394,0.33453893661499023
V0036,delayed_payment,Delayed payment with multiple installments and penalty addition.,3.0,chronic_rework_payment,1.0,0.02700127102434635,0.005978575441986322
V0037,delayed_payment,"Involves appeal to judge, penalties, and delayed installment payments.",1.0,standard_collection,1.0,0.045742448419332504,0.00041855929885059595
V0038,appeal_process,Involves the prefecture appeal path up to receiving results.,2.0,delayed_payment,2.0,0.34431394934654236,0.3335515260696411
V0039,delayed_payment,Involves prefecture appeal steps and a delayed payment with penalties.,2.0,appeal_process,1.0,0.33760106563568115,0.002297634957358241
V0040,standard_collection,Involves penalties and appeal to judge before moving to credit collection.,2.0,appeal_process,1.0,0.00919446349143982,0.009402916766703129
V0041,appeal_process,Involves the prefecture appeal path and a final payment.,3.0,standard_collection,1.0,0.005790786352008581,0.0017474755877628922
V0042,appeal_process,Involves the prefecture appeal path and a subsequent payment.,2.0,delayed_payment,1.0,0.004411292728036642,0.0030058680567890406
V0043,standard_collection,"Standard collection path with notification, penalties, and credit collection.",3.0,delayed_payment,1.0,0.02055289037525654,0.008967479690909386
V0044,delayed_payment,Delayed payment involving multiple installments and penalties.,1.0,standard_collection,1.0,0.015555381774902344,0.005467312876135111
V0045,chronic_rework_payment,Extremely long trace characterized by a high frequency of repeated payment steps.,2.0,delayed_payment,1.0,0.0,0.0021728246938437223
V0046,appeal_process,Involves the full prefecture appeal path up to notifying results.,1.0,delayed_payment,2.0,0.35078164935112,0.33826375007629395
V0047,appeal_process,Involves the prefecture appeal path and an appeal to a judge.,3.0,standard_collection,1.0,0.3354150950908661,0.33851197361946106
V0048,direct_payment,Quick payment process with repeated payments over a short duration without escalation.,1.0,delayed_payment,1.0,0.3422447741031647,0.0037710245233029127
