variant_id_a,variant_id_b,outcome_mismatch,duration_log_distance,rework_jaccard,profile_distance_mean
V0001,V0002,1.0,0.2878862729951444,0.0,0.4292954243317148
V0001,V0003,1.0,0.2052376878878522,0.0,0.4017458959626174
V0001,V0004,1.0,0.7121137270048555,0.0,0.5707045756682851
V0001,V0005,1.0,0.002153214817555061,0.0,0.33405107160585173
V0001,V0006,1.0,0.07863945209470499,0.0,0.3595464840315683
V0002,V0003,1.0,0.08264858510729221,0.0,0.3608828617024307
V0002,V0004,1.0,1.0,0.0,0.6666666666666666
V0002,V0005,1.0,0.28573305817758937,0.0,0.4285776860591965
V0002,V0006,1.0,0.36652572508984943,0.0,0.45550857502994985
V0003,V0004,0.0,0.9173514148927078,0.0,0.3057838049642359
V0003,V0005,1.0,0.20308447307029714,0.0,0.4010281576900991
V0003,V0006,1.0,0.2838771399825572,0.0,0.42795904666085244
V0004,V0005,1.0,0.7142669418224106,0.0,0.5714223139408036
V0004,V0006,1.0,0.6334742749101506,0.0,0.5444914249700502
V0005,V0006,1.0,0.08079266691226006,0.0,0.36026422230408667
