scope,scope_kind,category_name,indicator_id,indicator_name,unit,measured_value,satisfaction,target,threshold,worst,one_sided,provenance,n_cases,n_measured,n_not_applicable,n_no_start,n_no_end,coverage,source
__baseline__,baseline,,24,Time to antibiotics (hours),hours,1.8569039422168219,-4,1.0,1.8,3.0,False,guideline,1050,823,0,1,226,0.7838,"target 1 h or less, threshold 1.8 h, worst 3 h: the 1-hour antibiotic-administration window of the Surviving Sepsis Campaign 2016 international guideline (Rhodes et al., 2017), identified by Mannhardt & Blinde (2017, SS2) as the applicable rule for this exact log. worst/threshold/target reused verbatim from Ghasemi (2021, Ch.8, Table 19), set after physician consultation. See sepsisGM_description.md SS6."
__baseline__,baseline,,25,Time to lactate measurement (hours),hours,1.394111035934446,100,3.0,5.0,7.0,False,guideline,1050,739,0,1,310,0.7038,"target 3 h or less, threshold 5 h, worst 7 h: the 3-hour lactate-measurement window of the Surviving Sepsis Campaign 2016 guideline (Rhodes et al., 2017) via Mannhardt & Blinde (2017, SS2). worst/threshold/target reused verbatim from Ghasemi (2021, Ch.8, Table 19), physician-consulted. See sepsisGM_description.md SS6."
__baseline__,baseline,,26,Post-discharge ER return (binary),binary,0.28,-28,0.0,,1.0,False,illustrative,1050,1050,0,0,0,1.0,"target 0 (no return), worst 1 (returned): reused from Ghasemi (2021, Ch.8) as a common healthcare-system goal, not traced to a guideline window and with no threshold defined in the source. Measured as the presence of Return ER anywhere in the case, over every case in scope; a case with no captured discharge counts as no return -- see sepsisGM_description.md SS6/SS7."
release_a,category,Release Pathway A,24,Time to antibiotics (hours),hours,1.78568458781362,1,1.0,1.8,3.0,False,guideline,525,465,0,1,59,0.8857,"target 1 h or less, threshold 1.8 h, worst 3 h: the 1-hour antibiotic-administration window of the Surviving Sepsis Campaign 2016 international guideline (Rhodes et al., 2017), identified by Mannhardt & Blinde (2017, SS2) as the applicable rule for this exact log. worst/threshold/target reused verbatim from Ghasemi (2021, Ch.8, Table 19), set after physician consultation. See sepsisGM_description.md SS6."
release_a,category,Release Pathway A,25,Time to lactate measurement (hours),hours,2.130316599732262,100,3.0,5.0,7.0,False,guideline,525,415,0,1,109,0.7905,"target 3 h or less, threshold 5 h, worst 7 h: the 3-hour lactate-measurement window of the Surviving Sepsis Campaign 2016 guideline (Rhodes et al., 2017) via Mannhardt & Blinde (2017, SS2). worst/threshold/target reused verbatim from Ghasemi (2021, Ch.8, Table 19), physician-consulted. See sepsisGM_description.md SS6."
release_a,category,Release Pathway A,26,Post-discharge ER return (binary),binary,0.3485714285714286,-34,0.0,,1.0,False,illustrative,525,525,0,0,0,1.0,"target 0 (no return), worst 1 (returned): reused from Ghasemi (2021, Ch.8) as a common healthcare-system goal, not traced to a guideline window and with no threshold defined in the source. Measured as the presence of Return ER anywhere in the case, over every case in scope; a case with no captured discharge counts as no return -- see sepsisGM_description.md SS6/SS7."
admission_nc,category,Admission to Normal Care,24,Time to antibiotics (hours),hours,2.021339285714286,-18,1.0,1.8,3.0,False,guideline,98,84,0,0,14,0.8571,"target 1 h or less, threshold 1.8 h, worst 3 h: the 1-hour antibiotic-administration window of the Surviving Sepsis Campaign 2016 international guideline (Rhodes et al., 2017), identified by Mannhardt & Blinde (2017, SS2) as the applicable rule for this exact log. worst/threshold/target reused verbatim from Ghasemi (2021, Ch.8, Table 19), set after physician consultation. See sepsisGM_description.md SS6."
admission_nc,category,Admission to Normal Care,25,Time to lactate measurement (hours),hours,0.2737023809523809,100,3.0,5.0,7.0,False,guideline,98,70,0,0,28,0.7143,"target 3 h or less, threshold 5 h, worst 7 h: the 3-hour lactate-measurement window of the Surviving Sepsis Campaign 2016 guideline (Rhodes et al., 2017) via Mannhardt & Blinde (2017, SS2). worst/threshold/target reused verbatim from Ghasemi (2021, Ch.8, Table 19), physician-consulted. See sepsisGM_description.md SS6."
admission_nc,category,Admission to Normal Care,26,Post-discharge ER return (binary),binary,0.3163265306122449,-31,0.0,,1.0,False,illustrative,98,98,0,0,0,1.0,"target 0 (no return), worst 1 (returned): reused from Ghasemi (2021, Ch.8) as a common healthcare-system goal, not traced to a guideline window and with no threshold defined in the source. Measured as the presence of Return ER anywhere in the case, over every case in scope; a case with no captured discharge counts as no return -- see sepsisGM_description.md SS6/SS7."
release_b,category,Release Pathway B,24,Time to antibiotics (hours),hours,1.4738695090439278,40,1.0,1.8,3.0,False,guideline,54,43,0,0,11,0.7963,"target 1 h or less, threshold 1.8 h, worst 3 h: the 1-hour antibiotic-administration window of the Surviving Sepsis Campaign 2016 international guideline (Rhodes et al., 2017), identified by Mannhardt & Blinde (2017, SS2) as the applicable rule for this exact log. worst/threshold/target reused verbatim from Ghasemi (2021, Ch.8, Table 19), set after physician consultation. See sepsisGM_description.md SS6."
