variant_id,activity_sequence,trace_length,frequency,frequency_pct,representative_case_id,duration_seconds_mean,duration_seconds_median,duration_seconds_min,duration_seconds_max,outcome,rework,resource_distribution
V0001,ER Registration>ER Triage>ER Sepsis Triage,3,35,0.0333333333333333,SKA,1453.7428571428572,1043.0,122.0,6345.0,ER Sepsis Triage,{},{}
V0002,ER Registration>ER Triage>ER Sepsis Triage>Leucocytes>CRP,5,24,0.0228571428571428,MCA,2021.0,1624.5,473.0,4594.0,CRP,{},{}
V0003,ER Registration>ER Triage>ER Sepsis Triage>CRP>Leucocytes,5,22,0.0209523809523809,DE,1650.3636363636363,1278.5,404.0,4562.0,Leucocytes,{},{}
V0004,ER Registration>ER Triage>ER Sepsis Triage>CRP>LacticAcid>Leucocytes>IV Liquid>IV Antibiotics,8,13,0.0123809523809523,DQ,7332.461538461538,4707.0,1181.0,22924.0,IV Antibiotics,{},{}
V0005,ER Registration>ER Triage>ER Sepsis Triage>Leucocytes>CRP>LacticAcid,6,11,0.0104761904761904,REA,1815.1818181818182,1553.0,399.0,4681.0,LacticAcid,{},{}
V0006,ER Registration>ER Triage>ER Sepsis Triage>Leucocytes>CRP>LacticAcid>IV Liquid>IV Antibiotics,8,9,0.0085714285714285,IFA,12876.555555555555,10244.0,7832.0,22400.0,IV Antibiotics,{},{}
V0007,ER Registration>ER Triage>ER Sepsis Triage>Leucocytes>LacticAcid>CRP>IV Liquid>IV Antibiotics,8,7,0.0066666666666666,RJA,12374.57142857143,13073.0,3796.0,20209.0,IV Antibiotics,{},{}
V0008,ER Registration>ER Triage>ER Sepsis Triage>Leucocytes>CRP>Admission NC>Release A,7,5,0.0047619047619047,RB,291946.4,274089.0,159839.0,449758.0,Release A,{},{}
V0009,ER Registration>ER Triage>ER Sepsis Triage>LacticAcid>Leucocytes>CRP>IV Liquid>IV Antibiotics,8,5,0.0047619047619047,GGA,7377.8,6978.0,3519.0,11726.0,IV Antibiotics,{},{}
V0010,ER Registration>ER Triage>CRP>Leucocytes>ER Sepsis Triage,5,5,0.0047619047619047,SG,5429.8,5951.0,983.0,8477.0,ER Sepsis Triage,{},{}
V0011,ER Registration>ER Triage>ER Sepsis Triage>CRP>Leucocytes>LacticAcid>IV Liquid>IV Antibiotics,8,5,0.0047619047619047,PHA,11893.4,11722.0,4435.0,20923.0,IV Antibiotics,{},{}
V0012,ER Registration>ER Triage>ER Sepsis Triage>IV Liquid>CRP>Leucocytes>LacticAcid>IV Antibiotics,8,4,0.0038095238095238,E,2458.5,1451.0,1082.0,5850.0,IV Antibiotics,{},{}
V0013,ER Registration>ER Triage>ER Sepsis Triage>CRP>LacticAcid>Leucocytes,6,4,0.0038095238095238,GKA,2051.25,2242.0,502.0,3219.0,Leucocytes,{},{}
V0014,ER Registration>ER Triage>ER Sepsis Triage>CRP>Leucocytes>Admission NC>Release A,7,4,0.0038095238095238,BNA,320865.25,316395.0,216004.0,434667.0,Release A,{},{}
V0015,ER Registration>ER Triage>ER Sepsis Triage>Leucocytes>LacticAcid>CRP>IV Liquid>IV Antibiotics>Admission NC>CRP>Leucocytes>Release A,12,4,0.0038095238095238,TBA,213253.25,214330.5,91039.0,333313.0,Release A,"{""CRP"": 4, ""Leucocytes"": 4}",{}
