variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,This narrative ends at ER Sepsis Triage and does not involve admission to a normal care or intensive care inpatient ward.,,admission_nc,2.0,,0.3891150653362274
V0002,,The narrative concludes after blood tests (CRP) and does not contain any inpatient admission activity.,,admission_nc,1.0,,0.37631967663764954
V0003,,The narrative finishes at Leucocytes and lacks any ward admission step.,,admission_nc,2.0,,0.3832360804080963
V0004,,The patient receives IV Antibiotics in the emergency phase but is not admitted to a ward.,,admission_nc,1.0,,0.0398164764046669
V0005,,The process sequence terminates at LacticAcid without any inpatient admission.,,admission_nc,1.0,,0.37761950492858887
V0006,,"Involves ER care and IV Antibiotics administration, but no inpatient admission is recorded.",,admission_nc,2.0,,0.017360536381602287
V0007,,Contains emergency diagnostic and treatment steps without proceeding to inpatient ward admission.,,admission_nc,1.0,,0.010318686254322529
V0008,admission_nc,"The narrative includes 'Admission NC', explicitly realizing the Normal Care Admission category.",7.0,admission_ic,3.0,0.36189985275268555,0.33436235785484314
V0009,,Stops at IV Antibiotics following emergency procedures; no admission activity is present.,,admission_nc,2.0,,0.02844727225601673
V0010,,"Consists only of emergency registration, triage, and lab work without inpatient admission.",,admission_nc,2.0,,0.3388270139694214
V0011,,Completes the emergency treatment path with IV Antibiotics but does not lead to ward admission.,,admission_nc,1.0,,0.013468634337186813
V0012,,Represents emergency diagnostics and IV therapy without any subsequent ward admission.,,admission_nc,2.0,,0.07379884272813797
V0013,,Terminates at Leucocytes laboratory testing without inpatient admission.,,admission_nc,3.0,,0.367016464471817
V0014,admission_nc,"Includes 'Admission NC' before final release, realizing the Normal Care Admission category.",6.0,admission_ic,4.0,0.3577549159526825,0.333757609128952
V0015,admission_nc,"Contains 'Admission NC' during the patient pathway, realizing the Normal Care Admission category.",5.0,admission_ic,4.0,0.03566834703087807,0.12278217077255249
V0016,admission_nc,"Includes 'Admission NC' prior to further monitoring and release, realizing Normal Care Admission.",5.0,admission_ic,4.0,0.023234130814671516,0.11187426000833511
V0017,,Stops at ER Sepsis Triage and lab testing without inpatient admission.,,admission_nc,2.0,,0.36712613701820374
V0018,admission_nc,"Features 'Admission NC' in the sequence, realizing the Normal Care Admission category.",7.0,admission_ic,4.0,0.3568616807460785,0.3338022530078888
V0019,,"Covers emergency triage, diagnostics, and IV antibiotics without ward admission.",,admission_nc,3.0,,0.028952397406101227
V0020,,"Ends at CRP after emergency diagnostics and treatment, with no inpatient admission.",,admission_nc,3.0,,0.3788929879665375
V0021,admission_nc,"Includes 'Admission NC' before subsequent discharge and return, realizing Normal Care Admission.",5.0,admission_ic,6.0,0.3730107843875885,0.11683540791273117
V0022,admission_nc,"Contains 'Admission NC' in the pathway leading to release, realizing Normal Care Admission.",6.0,admission_ic,4.0,0.3563199043273926,0.3343440592288971
V0023,admission_nc,"Includes 'Admission NC' before release and return, realizing the Normal Care Admission category.",6.0,admission_ic,6.0,0.37762269377708435,0.11472144722938538
V0024,admission_nc,"Ends directly with 'Admission NC' following emergency treatment, realizing Normal Care Admission.",7.0,admission_ic,4.0,0.79412841796875,0.700086772441864
V0025,,Finishes with IV Antibiotics after emergency care; no ward admission is recorded.,,admission_nc,2.0,,0.01594679243862629
V0026,admission_nc,"Contains 'Admission NC' in the treatment sequence before release, realizing Normal Care Admission.",7.0,admission_ic,5.0,0.5199500918388367,0.22407883405685425
V0027,,Emergency pathway ending in IV Antibiotics without inpatient ward admission.,,admission_nc,3.0,,0.011120502837002277
V0028,admission_nc,"Includes 'Admission NC' prior to discharge and return, realizing the Normal Care Admission category.",5.0,admission_ic,5.0,0.4048873484134674,0.1115245446562767
V0029,,Terminates at Leucocytes after emergency procedures without ward admission.,,admission_nc,2.0,,0.36965814232826233
V0030,admission_nc,"Contains 'Admission NC' followed by further testing and release, realizing Normal Care Admission.",5.0,admission_ic,5.0,0.024563884362578392,0.11167770624160767
V0031,,"Emergency care pathway ending with LacticAcid testing, lacking inpatient admission.",,admission_nc,3.0,,0.3540477454662323
V0032,admission_nc,"Includes 'Admission NC' during inpatient monitoring before release, realizing Normal Care Admission.",5.0,admission_ic,5.0,0.35336101055145264,0.11289012432098389
V0033,admission_nc,"Contains 'Admission NC' in the pathway before eventual release and return, realizing Normal Care Admission.",7.0,admission_ic,6.0,0.5885335206985474,0.2256755381822586
V0034,,Emergency phase pathway ending in IV Liquid administration without ward admission.,,admission_nc,2.0,,0.01565026491880417
V0035,admission_nc,"Includes 'Admission NC' during the hospital stay before release, realizing Normal Care Admission.",4.0,admission_ic,4.0,0.0025110591668635607,0.11212173849344254
V0036,,Emergency diagnostic and treatment sequence ending at CRP without inpatient admission.,,admission_nc,3.0,,0.38420066237449646
V0037,admission_nc,"Contains 'Admission NC' leading to Release B, realizing the Normal Care Admission category.",8.0,admission_ic,4.0,0.6988272070884705,0.3478574752807617
V0038,,Emergency management sequence ending in IV Antibiotics without inpatient admission.,,admission_nc,3.0,,0.012487771920859814
V0039,admission_nc,"Includes repeated 'Admission NC' steps during the pathway, realizing Normal Care Admission.",4.0,admission_ic,6.0,0.11471235752105713,0.08835064619779587
V0040,admission_nc,"Terminates directly with 'Admission NC' after emergency care, realizing Normal Care Admission.",7.0,admission_ic,3.0,0.7805387377738953,0.686497151851654
V0041,admission_nc,"Contains 'Admission NC' steps prior to release, realizing the Normal Care Admission category.",5.0,admission_ic,4.0,0.13836026191711426,0.08362168818712234
V0042,admission_nc,"Includes 'Admission NC' in the patient path before release, realizing Normal Care Admission.",4.0,admission_ic,5.0,0.02587503381073475,0.11298885196447372
V0043,,Emergency lab testing sequence ending at LacticAcid without inpatient ward admission.,,admission_nc,2.0,,0.36644890904426575
V0044,admission_nc,"Contains 'Admission NC' prior to release, realizing the Normal Care Admission category.",4.0,admission_ic,3.0,0.028955580666661263,0.11606939882040024
V0045,admission_nc,"Includes 'Admission NC' before release and return, realizing Normal Care Admission.",7.0,admission_ic,4.0,0.7144916653633118,0.3334079682826996
V0046,admission_nc,"Contains 'Admission NC' during the inpatient phase before release, realizing Normal Care Admission.",5.0,admission_ic,6.0,0.010306290350854397,0.11155546456575394
V0047,admission_nc,"Includes 'Admission NC' right before release, realizing the Normal Care Admission category.",6.0,admission_ic,4.0,0.37708672881126404,0.34954917430877686
V0048,admission_nc,"Contains 'Admission NC' followed by further testing and release, realizing Normal Care Admission.",5.0,admission_ic,4.0,0.012953873723745346,0.11304154247045517
V0049,admission_nc,"Includes 'Admission NC' during the patient's care pathway, realizing Normal Care Admission.",7.0,admission_ic,6.0,0.42897769808769226,0.11116606742143631
V0050,,Emergency pathway ending with CRP blood testing without any inpatient admission.,,admission_nc,1.0,,0.37032926082611084
V0051,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",4.0,admission_ic,2.0,0.1270235776901245,0.08850157260894775
V0052,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,5.0,0.4060424268245697,0.11267960071563721
V0053,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",8.0,admission_ic,5.0,0.3799898624420166,0.3524523675441742
V0054,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,6.0,0.3784903585910797,0.11385377496480942
V0055,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,5.0,0.5013391971588135,0.08447146415710449
V0056,,The narrative does not include any inpatient ward admission activity.,,admission_nc,2.0,,0.04364530369639397
V0057,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",7.0,admission_ic,4.0,0.37765857577323914,0.35012105107307434
V0058,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",7.0,admission_ic,4.0,0.3724132776260376,0.3448757827281952
V0059,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",5.0,admission_ic,5.0,0.03337796777486801,0.12049178034067154
V0060,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,5.0,0.41556021571159363,0.11380677670240402
V0061,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",1.0,admission_ic,5.0,0.004335192497819662,0.11192459613084793
V0062,,The narrative does not include any inpatient ward admission activity.,,admission_nc,1.0,,0.019983569160103798
V0063,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",13.0,admission_ic,9.0,0.007880558259785175,0.11214437335729599
V0064,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,5.0,0.1804744452238083,0.22329874336719513
V0065,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",4.0,admission_ic,5.0,0.12324347347021103,0.08472147583961487
V0066,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",7.0,admission_ic,4.0,0.3804495334625244,0.352912038564682
V0067,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",5.0,admission_ic,5.0,0.006527781952172518,0.11337033659219742
V0068,admission_ic,"The narrative includes the 'Admission IC' activity, realizing the Intensive Care Admission category.",12.0,admission_nc,4.0,0.5394430756568909,0.0019673386123031378
V0069,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",5.0,admission_ic,5.0,0.005077439360320568,0.11266684532165527
V0070,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",4.0,admission_ic,4.0,0.19032622873783112,0.22255992889404297
V0071,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,6.0,0.5174746513366699,0.08368303626775742
V0072,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",5.0,admission_ic,4.0,0.34131014347076416,0.12494099140167236
V0073,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",5.0,admission_ic,5.0,0.014500699937343597,0.11149471998214722
V0074,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,5.0,0.6776034832000732,0.34826430678367615
V0075,admission_ic,"The narrative includes the 'Admission IC' activity, realizing the Intensive Care Admission category.",7.0,admission_nc,4.0,0.1555141806602478,0.0016834265552461147
V0076,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",8.0,admission_ic,3.0,0.7053706049919128,0.3429306745529175
V0077,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,3.0,0.5427880883216858,0.17328494787216187
V0078,admission_ic,"The narrative includes the 'Admission IC' activity, realizing the Intensive Care Admission category.",8.0,admission_nc,5.0,0.043720196932554245,0.0024912438821047544
V0079,admission_nc,"The narrative includes the 'Admission NC' activity, realizing the Normal Care Admission category.",6.0,admission_ic,4.0,0.19036279618740082,0.22252337634563446
