variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,This narrative ends in ER Sepsis Triage and does not reach any discharge activity.,,release_a,2.0,,0.3996862471103668
V0002,,This narrative ends in CRP testing and does not reach any discharge activity.,,release_a,2.0,,0.3868909180164337
V0003,,This narrative ends in Leucocytes testing and does not reach any discharge activity.,,release_a,2.0,,0.3938073217868805
V0004,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_a,2.0,,0.3561701476573944
V0005,,This narrative ends in LacticAcid testing and does not reach any discharge activity.,,release_a,2.0,,0.38819071650505066
V0006,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_b,2.0,,0.33371415734291077
V0007,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_b,2.0,,0.33662155270576477
V0008,release_a,"This narrative ends with Release A, matching category Release A discharge.",7.0,release_b,2.0,0.3643254339694977,0.3369273245334625
V0009,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_a,2.0,,0.3448009192943573
V0010,,This narrative ends in ER Sepsis Triage and does not reach any discharge activity.,,release_a,2.0,,0.3493982255458832
V0011,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_b,2.0,,0.3334716260433197
V0012,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_a,2.0,,0.3901524841785431
V0013,,This narrative ends in Leucocytes testing and does not reach any discharge activity.,,release_a,3.0,,0.3775876760482788
V0014,release_a,"This narrative ends with Release A, matching category Release A discharge.",8.0,release_b,2.0,0.36018046736717224,0.34107232093811035
V0015,release_a,"This narrative ends with Release A, matching category Release A discharge.",4.0,release_b,3.0,0.03809391334652901,0.34168222546577454
V0016,release_a,"This narrative ends with Release A, matching category Release A discharge.",2.0,release_b,3.0,0.025659695267677307,0.3370905816555023
V0017,,This narrative ends in ER Sepsis Triage and does not reach any discharge activity.,,release_a,3.0,,0.3776973485946655
V0018,release_a,"This narrative ends with Release A, matching category Release A discharge.",6.0,release_c,3.0,0.3592872619628906,0.34196552634239197
V0019,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_a,3.0,,0.34530603885650635
V0020,,This narrative ends in CRP testing and does not reach any discharge activity.,,release_a,3.0,,0.38946422934532166
V0021,release_a,"This narrative includes Release A before returning to the ER, aligning with Release A discharge.",5.0,release_b,4.0,0.37058520317077637,0.005273167043924332
V0022,release_a,"This narrative ends with Release A, matching category Release A discharge.",6.0,release_c,1.0,0.3587454557418823,0.34250733256340027
V0023,release_a,"This narrative includes Release A before returning to the ER, aligning with Release A discharge.",8.0,release_c,4.0,0.3751971423625946,0.009885069914162159
V0024,,This narrative ends in Admission NC and does not reach any specific discharge category.,,release_a,2.0,,0.004364368971437216
V0025,,This narrative ends in IV Antibiotics and does not reach any discharge activity.,,release_a,2.0,,0.33436623215675354
V0026,release_a,"The narrative ends with Release A discharge, realizing category release_a.",4.0,release_d,4.0,0.5175245404243469,0.1811208873987198
V0027,,The narrative ends prematurely with IV Antibiotics and does not reach any discharge category.,,release_b,3.0,,0.3358197510242462
V0028,release_a,"The narrative includes Release A discharge, realizing category release_a.",5.0,release_b,2.0,0.40246179699897766,0.007231835275888443
V0029,,The narrative ends with Leucocytes and does not reach any discharge category.,,release_b,2.0,,0.3802293837070465
V0030,release_a,"The narrative includes Release A discharge, realizing category release_a.",4.0,release_e,4.0,0.026989446952939034,0.3360888957977295
V0031,,The narrative ends with LacticAcid and does not reach any discharge category.,,release_b,3.0,,0.3646189868450165
V0032,release_a,"The narrative includes Release A discharge, realizing category release_a.",4.0,release_d,5.0,0.3509354591369629,0.01437660213559866
V0033,release_a,"The narrative includes Release A discharge, realizing category release_a.",6.0,release_d,4.0,0.5861079692840576,0.16679668426513672
V0034,,The narrative ends with IV Liquid and does not reach any discharge category.,,release_a,2.0,,0.33619096875190735
V0035,release_a,"The narrative includes Release A discharge, realizing category release_a.",1.0,release_c,2.0,0.00493662292137742,0.3336624205112457
V0036,,The narrative ends with CRP and does not reach any discharge category.,,release_b,3.0,,0.39477190375328064
V0037,release_b,"The narrative ends with Release B discharge, realizing category release_b.",5.0,release_a,1.0,0.3478574752807617,0.33376121520996094
V0038,,The narrative ends with IV Antibiotics and does not reach any discharge category.,,release_a,3.0,,0.33445248007774353
V0039,release_a,"The narrative includes Release A discharge, realizing category release_a.",4.0,release_b,4.0,0.11713791638612747,0.33401814103126526
V0040,,The narrative ends with Admission NC and does not reach any discharge category.,,release_b,1.0,,0.009225305169820786
V0041,release_a,"The narrative includes Release A discharge, realizing category release_a.",2.0,release_c,3.0,0.1407858282327652,0.3335843086242676
V0042,release_a,"The narrative includes Release A discharge, realizing category release_a.",4.0,release_b,3.0,0.02830059826374054,0.33477774262428284
V0043,,The narrative ends with LacticAcid and does not reach any discharge category.,,release_a,2.0,,0.37702012062072754
V0044,release_a,"The narrative includes Release A discharge, realizing category release_a.",4.0,release_b,3.0,0.03138114511966705,0.3349694311618805
V0045,release_a,"The narrative includes Release A discharge, realizing category release_a.",8.0,release_d,3.0,0.7120661735534668,0.3396390676498413
V0046,release_a,"The narrative includes Release A discharge, realizing category release_a.",4.0,release_c,4.0,0.012731853872537613,0.3337673246860504
V0047,release_a,"The narrative includes Release A discharge, realizing category release_a.",6.0,release_c,3.0,0.3795122802257538,0.33553382754325867
V0048,release_a,"The narrative includes Release A discharge, realizing category release_a.",2.0,release_d,2.0,0.015379437245428562,0.33444809913635254
V0049,release_a,"The narrative includes Release A discharge, realizing category release_a.",7.0,release_d,6.0,0.4265521466732025,0.007240867242217064
V0050,,The narrative ends with CRP and does not reach any discharge category.,,release_a,3.0,,0.38090047240257263
V0051,release_a,The narrative concludes with Release A and fits the Discharge via Release A category.,3.0,release_c,3.0,0.12944914400577545,0.3335767686367035
V0052,release_a,"The narrative features Release A before an ER return, realizing the Release A discharge category.",3.0,release_d,3.0,0.40361687541007996,0.007688228040933609
V0053,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",9.0,release_b,4.0,0.38241544365882874,0.3340359926223755
V0054,release_a,"The narrative contains Release A before an ER return, realizing the Release A discharge category.",5.0,release_d,4.0,0.3760647773742676,0.010752740316092968
V0055,release_a,"The narrative contains Release A before an ER return, realizing the Release A discharge category.",3.0,release_c,4.0,0.4989136755466461,0.016950344666838646
V0056,,The narrative ends with IV Antibiotics and does not reach any discharge category.,,release_a,3.0,,0.3599989414215088
V0057,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",4.0,release_b,3.0,0.38008415699005127,0.33496198058128357
V0058,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",8.0,release_b,3.0,0.37483882904052734,0.33370938897132874
V0059,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",2.0,release_d,3.0,0.03580353036522865,0.339391827583313
V0060,release_a,"The narrative contains Release A before an ER return, realizing the Release A discharge category.",6.0,release_b,5.0,0.4131346642971039,0.0018295705085620284
V0061,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",4.0,release_d,2.0,0.006760756019502878,0.33482837677001953
V0062,,The narrative ends with IV Antibiotics and does not reach any discharge category.,,release_a,2.0,,0.33633720874786377
V0063,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",12.0,release_b,6.0,0.005454994738101959,0.33602777123451233
V0064,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",6.0,release_b,4.0,0.18290001153945923,0.3362339437007904
V0065,release_a,"The narrative concludes with Release A, realizing the Release A discharge category.",3.0,release_c,3.0,0.12566904723644257,0.3368700444698334
