variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,"The narrative ends at ER Sepsis Triage without an admission or release outcome, so it does not fit any admission or release category.",,release_a,2.0,,0.3891150653362274
V0002,,The case terminates at CRP without reaching an inpatient ward admission or discharge.,,admission_nc,1.0,,0.37631967663764954
V0003,,The process sequence ends at Leucocytes and does not include admission or release.,,release_a,2.0,,0.3832360804080963
V0004,,The variant ends at IV Antibiotics within the ER phase and is not admitted or discharged.,,admission_nc,1.0,,0.08746704459190369
V0005,,The process terminates at LacticAcid before any ward admission or release event.,,admission_nc,1.0,,0.37761950492858887
V0006,,The narrative stops at IV Antibiotics and lacks admission or release milestones.,,release_b,2.0,,0.06501110643148422
V0007,,The narrative ends at IV Antibiotics without proceeding to admission or release.,,admission_nc,1.0,,0.05796925723552704
V0008,release_a,The patient is admitted to Normal Care (Admission NC) and subsequently reaches discharge via Release A.,7.0,admission_nc,1.0,0.35756468772888184,0.029492855072021484
V0009,,The narrative concludes with IV Antibiotics and does not involve admission or release.,,release_a,2.0,,0.07609784603118896
V0010,,The trace stops at ER Sepsis Triage without reaching an admission or release category.,,admission_nc,2.0,,0.3388270139694214
V0011,,The variant ends with IV Antibiotics and does not reach admission or release.,,admission_nc,1.0,,0.061119209975004196
V0012,,The case finishes at IV Antibiotics and lacks downstream admission or release steps.,,admission_nc,2.0,,0.12144941836595535
V0013,,The trace ends at Leucocytes without advancing to admission or release.,,release_a,3.0,,0.367016464471817
V0014,release_a,The patient undergoes Admission NC followed by Release A.,8.0,admission_nc,2.0,0.353419691324234,0.03363781422376633
V0015,release_a,The patient goes through Admission NC and is discharged via Release A.,4.0,admission_nc,3.0,0.03133315593004227,0.009747783653438091
V0016,release_a,The narrative includes Admission NC and concludes with Release A.,2.0,release_b,3.0,0.018898939713835716,0.0004809253441635519
V0017,,The case terminates at ER Sepsis Triage without reaching any admission or release status.,,admission_nc,2.0,,0.36712613701820374
V0018,release_a,The patient is admitted via Admission NC and discharged via Release A.,6.0,admission_nc,3.0,0.3525265157222748,0.03453102335333824
V0019,,The variant concludes with IV Antibiotics and does not reach admission or release.,,admission_nc,3.0,,0.07660297304391861
V0020,,The trace ends at CRP without any admission or release events.,,admission_nc,3.0,,0.3788929879665375
V0021,release_a,"The patient is admitted to Normal Care, discharged via Release A, and later experiences a Return ER.",5.0,admission_nc,3.0,0.3773459494113922,0.0118705527856946
V0022,release_a,The narrative features Admission NC followed by Release A.,6.0,release_c,1.0,0.3519847095012665,0.03507281467318535
V0023,release_a,The narrative includes Admission NC and Release A prior to a Return ER.,8.0,release_c,4.0,0.38195788860321045,0.016468936577439308
V0024,admission_nc,The patient is admitted to normal care (Admission NC) which is the final event in the variant's representative case sequence.,7.0,release_a,3.0,0.7713752388954163,0.3410704433917999
V0025,,The narrative terminates at IV Antibiotics without reaching an admission or release category.,,release_a,2.0,,0.06359736621379852
V0026,release_a,The patient undergoes Admission NC and Release A before a Return ER.,4.0,admission_nc,4.0,0.5242852568626404,0.1745234876871109
V0027,,The case ends at IV Antibiotics without admission or release milestones.,,admission_nc,3.0,,0.05877107381820679
V0028,release_a,The narrative features Admission NC followed by Release A before returning to the ER.,5.0,admission_nc,1.0,0.4092225730419159,0.008843288756906986
V0029,,The trace ends at Leucocytes without admission or release.,,release_b,2.0,,0.36965814232826233
V0030,release_a,The patient is admitted via Admission NC and discharged via Release A.,4.0,admission_nc,3.0,0.020228691399097443,0.000253088801400736
V0031,,The variant stops at LacticAcid without any inpatient admission or release.,,release_b,3.0,,0.3540477454662323
V0032,release_a,The patient undergoes Admission NC and Release A prior to a Return ER.,4.0,admission_nc,4.0,0.35769620537757874,0.007779215928167105
V0033,release_a,The narrative includes Admission NC and Release A followed by Return ER.,6.0,admission_nc,3.0,0.5928687453269958,0.16679668426513672
V0034,,The trace ends at IV Liquid without reaching admission or release.,,release_a,2.0,,0.016784977167844772
V0035,release_a,The narrative features Admission NC followed by Release A.,1.0,admission_nc,2.0,0.001824133680202067,0.0099832434207201
V0036,,The case ends at CRP without reaching admission or release.,,release_b,3.0,,0.38420066237449646
V0037,release_b,The patient is admitted to Normal Care and successfully discharged via Release B.,5.0,release_a,1.0,0.3478574752807617,0.33376121520996094
V0038,,The variant stops at IV Antibiotics and lacks admission or release events.,,release_a,3.0,,0.06013834476470947
V0039,release_a,The narrative includes Admission NC and ultimately reaches discharge via Release A.,4.0,release_b,4.0,0.11184504628181458,0.0010106355184689164
V0040,admission_nc,"The narrative concludes with an Admission NC event, fitting the Normal Care admission category.",7.0,release_b,1.0,0.7577855587005615,0.3391858637332916
V0041,release_a,The patient is admitted via Admission NC and discharged via Release A.,2.0,release_c,3.0,0.13402508199214935,0.010930690914392471
V0042,release_a,The patient undergoes Admission NC and is discharged via Release A.,4.0,admission_nc,2.0,0.02153984270989895,4.5530483475886285e-05
V0043,,The case terminates at LacticAcid without admission or release.,,release_a,2.0,,0.36644890904426575
V0044,release_a,The narrative features Admission NC followed by Release A.,4.0,release_b,3.0,0.024620389565825462,0.0030350179877132177
V0045,release_a,"The patient is admitted via Admission NC, discharged via Release A, and later returns to the ER.",8.0,admission_nc,2.0,0.718826949596405,0.030948853120207787
V0046,release_a,The patient undergoes Admission NC and concludes with Release A.,4.0,admission_nc,3.0,0.005971097853034735,0.012446916662156582
V0047,release_a,The narrative includes Admission NC followed by Release A.,6.0,admission_nc,1.0,0.37275150418281555,0.014306009747087955
V0048,release_a,The patient is admitted via Admission NC and discharged via Release A.,2.0,release_d,2.0,0.008618681691586971,0.009799332357943058
V0049,release_a,The patient undergoes Admission NC and Release A before a Return ER.,7.0,admission_nc,3.0,0.43331289291381836,0.002381053986027837
V0050,,The trace stops at CRP without reaching admission or release.,,admission_nc,1.0,,0.37032926082611084
V0051,release_a,The narrative records an admission to normal care followed by a final outcome of Release A.,3.0,release_c,3.0,0.12268838286399841,1.4275125295171165e-06
V0052,release_a,"The narrative records an admission to normal care followed by Release A, even though the case later returned to the ER.",3.0,admission_nc,3.0,0.4103776216506958,0.007688228040933609
V0053,release_a,The narrative involves normal care admission and concludes with Release A.,9.0,admission_nc,2.0,0.3756546974182129,0.011402829550206661
V0054,release_a,The narrative includes normal care admission and Release A prior to an ER return.,5.0,admission_nc,2.0,0.3828255236148834,0.015601267106831074
V0055,release_a,The narrative shows admission to normal care and a discharge via Release A.,3.0,admission_nc,3.0,0.505674421787262,0.012042840011417866
V0056,,The narrative stops at IV Antibiotics and does not reach any inpatient admission or release category.,,admission_nc,2.0,,0.09129587560892105
V0057,release_a,The narrative features normal care admission and ends with Release A.,4.0,release_b,3.0,0.3733234107494354,0.013734131120145321
V0058,release_a,The narrative includes normal care admission and concludes with Release A.,8.0,admission_nc,1.0,0.3680780827999115,0.018979428336024284
V0059,release_a,The narrative proceeds through normal care admission to Release A.,2.0,admission_nc,3.0,0.029042772948741913,0.007457402069121599
