variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,"This narrative stops at ER Sepsis Triage and does not result in admission or final disposition, representing an incomplete or abandoned ED visit rather than a completed recovery or hospital stay.",,uncomplicated_recovery,2.0,,0.013384795747697353
V0002,,"The trace ends at CRP laboratory testing within the emergency department without admission or final disposition, falling outside the standard completed hospital stay patterns.",,early_or_irregular_discharge,1.0,,0.0059904432855546474
V0003,,The trace terminates at Leucocytes testing in the emergency department without reaching an admission or discharge disposition.,,early_or_irregular_discharge,1.0,,0.013577933423221111
V0004,,The trace ends after administering IV Antibiotics in the emergency department without any subsequent admission or discharge event.,,early_or_irregular_discharge,1.0,,0.0031856950372457504
V0005,,The trace ends at LacticAcid testing in the emergency department without proceeding to admission or discharge.,,early_or_irregular_discharge,1.0,,0.011170591227710247
V0006,,The trace concludes with IV Antibiotics in the emergency department and lacks an inpatient admission or final release disposition.,,early_or_irregular_discharge,2.0,,0.0048727658577263355
V0007,,The trace ends at IV Antibiotics in the emergency setting without an admission or formal discharge event.,,early_or_irregular_discharge,1.0,,0.000749628699850291
V0008,uncomplicated_recovery,The case involves a standard emergency evaluation followed by routine admission to normal care (NC) and a straightforward release (Release A) within a typical duration of 3 days.,4.0,non_home_disposition,1.0,0.3452650308609009,0.0050381687469780445
V0009,,The trace finishes at IV Antibiotics in the emergency department without an inpatient admission or final disposition.,,extended_monitoring_recovery,2.0,,0.004415913950651884
V0010,,The trace ends with an out-of-order ER Sepsis Triage event and lacks a proper hospital admission or final discharge disposition.,,early_or_irregular_discharge,2.0,,0.0369032584130764
V0011,,The trace terminates at IV Antibiotics in the emergency department without admission or discharge tracking.,,early_or_irregular_discharge,1.0,,0.0009808631148189306
V0012,,The trace ends with IV Antibiotics in the emergency department without proceeding to admission or release.,,early_or_irregular_discharge,2.0,,0.0006104464991949499
V0013,,The trace ends at Leucocytes testing in the emergency department without inpatient admission or discharge.,,early_or_irregular_discharge,2.0,,0.0026417141780257225
V0014,uncomplicated_recovery,"The case follows an uncomplicated path through emergency assessment, admission to normal care (NC), and routine release (Release A) over 4 days.",5.0,early_or_irregular_discharge,2.0,0.3411200940608978,0.000893208256457001
V0015,extended_monitoring_recovery,The trace shows an uncomplicated recovery and release (Release A) but incorporates repeated testing (CRP and Leucocytes) and a materially longer observation period of 2 days before final disposition.,7.0,non_home_disposition,1.0,0.04318936541676521,0.001538728945888579
V0016,extended_monitoring_recovery,"The case recovers without care escalation, but exhibits a prolonged stay of 4 days with repeated laboratory monitoring before discharge.",7.0,uncomplicated_recovery,1.0,0.03075515292584896,0.00010385151108494028
V0017,,The trace features an atypical sequence ending back at ER Sepsis Triage without an admission or final discharge.,,early_or_irregular_discharge,2.0,,0.008604122325778008
V0018,extended_monitoring_recovery,"The case successfully recovers and is released via Release A, but involves an extended monitoring duration of 4 days.",7.0,uncomplicated_recovery,1.0,0.36438271403312683,0.00012561735638882965
V0019,,The trace terminates at IV Antibiotics in the emergency department without an inpatient admission or discharge disposition.,,early_or_irregular_discharge,2.0,,0.00492103910073638
V0020,,The trace ends at CRP testing in the emergency department without an admission or formal release.,,early_or_irregular_discharge,2.0,,0.005307679995894432
V0021,non_home_disposition,"The trace ends with a Return ER event following initial release, representing an unplanned return or readmission disposition rather than a routine uncomplicated recovery.",3.0,early_or_irregular_discharge,2.0,0.012389120645821095,0.0006289064767770469
V0022,uncomplicated_recovery,The case follows a standard course from emergency evaluation to admission to normal care (NC) and routine release (Release A) over 4 days.,5.0,non_home_disposition,1.0,0.3396850824356079,0.0005417912034317851
V0023,non_home_disposition,"The trace concludes with a Return ER event after initial discharge, categorizing it under non-routine or readmission disposition.",6.0,uncomplicated_recovery,1.0,0.007777217775583267,0.00020539744582492858
V0024,,The trace stops abruptly at Admission NC without showing the subsequent hospital stay or final discharge disposition.,,early_or_irregular_discharge,1.0,,0.004364368971437216
V0025,,The trace ends at IV Antibiotics in the emergency department without an inpatient admission or final release.,,early_or_irregular_discharge,2.0,,0.0034590212162584066
V0026,,"The trace ends in a Return ER outcome after release, which reflects a readmission rather than a simple recovery or standard inpatient escalation, but it does not cleanly fit standard care escalation or non-home disposition categories.",,early_or_irregular_discharge,1.0,,0.04577702283859253
V0027,early_or_irregular_discharge,"The trace ends immediately upon IV Antibiotics within 4 hours without standard admission or normal release progression, indicating an irregular ED discharge pathway.",4.0,uncomplicated_recovery,3.0,0.008794943802058697,0.00043937613372690976
V0028,,"The case involves a lengthy stay and a return to ER, but the extended duration combined with a readmission does not cleanly fit the standard categories.",,uncomplicated_recovery,1.0,,0.0003073322877753526
V0029,early_or_irregular_discharge,The trace is very short (34 minutes) and ends abruptly on lab tests (Leucocytes) without completing standard disposition or admission.,3.0,uncomplicated_recovery,2.0,0.39488351345062256,0.37443554401397705
V0030,uncomplicated_recovery,"Standard admission course with repeat labs and final Release A, following an uncomplicated inpatient recovery pattern.",4.0,extended_monitoring_recovery,2.0,0.007929055951535702,0.00110627559479326
V0031,early_or_irregular_discharge,Very short trace ending abruptly on LacticAcid within an hour without admission or formal release.,3.0,uncomplicated_recovery,3.0,0.37927308678627014,0.35882511734962463
V0032,,"The case has a multi-day admission with repeat labs leading to Release A, followed later by a Return ER, representing a readmission pattern.",,non_home_disposition,1.0,,5.056213922216557e-05
V0033,,"Involves a prolonged timeline resulting in a Return ER, not fitting straightforward inpatient recovery.",,early_or_irregular_discharge,1.0,,0.003758639097213745
V0034,early_or_irregular_discharge,Abrupt termination of the trace at IV Liquid after 15 hours without standard admission or discharge processing.,2.0,uncomplicated_recovery,2.0,0.36570438742637634,0.33619096875190735
V0035,uncomplicated_recovery,Standard admission with ongoing monitoring and typical Release A disposition.,4.0,extended_monitoring_recovery,1.0,0.014123770408332348,0.0005881366087123752
V0036,early_or_irregular_discharge,Extremely short duration (21 minutes) ending prematurely at CRP in the ED.,4.0,uncomplicated_recovery,2.0,0.4094260036945343,0.3889780342578888
V0037,extended_monitoring_recovery,Involves an admission followed by a materially longer observation period (3 days) before a Release B outcome compared to quick ED visits.,11.0,early_or_irregular_discharge,1.0,0.7063482403755188,0.0065433369018137455
V0038,early_or_irregular_discharge,Short 3-hour stay ending abruptly at IV Antibiotics without formal admission or standard release.,3.0,uncomplicated_recovery,2.0,0.010162211954593658,0.0009278920479118824
V0039,uncomplicated_recovery,Standard inpatient stay with routine monitoring and Release A.,6.0,extended_monitoring_recovery,2.0,0.12414468079805374,0.001734760939143598
V0040,early_or_irregular_discharge,Short 4-hour stay ending right at Admission NC without a complete recovery or release path recorded.,4.0,uncomplicated_recovery,1.0,0.33876216411590576,0.3371388018131256
V0041,uncomplicated_recovery,Standard admission course with typical inpatient lab checks and Release A.,2.0,extended_monitoring_recovery,1.0,0.12172544002532959,0.0025896632578223944
V0042,uncomplicated_recovery,Typical inpatient admission followed by standard Release A.,5.0,extended_monitoring_recovery,1.0,0.009240204468369484,0.002417424926534295
V0043,early_or_irregular_discharge,Short ED sequence ending at LacticAcid within 38 minutes.,2.0,uncomplicated_recovery,1.0,0.3916742503643036,0.3712262809276581
V0044,uncomplicated_recovery,Standard inpatient admission and recovery sequence leading to Release A.,3.0,non_home_disposition,1.0,0.012320753186941147,0.005497973412275314
V0045,,"Inpatient admission followed by release and subsequent Return ER, representing a readmission pattern.",,uncomplicated_recovery,2.0,,0.002805172698572278
V0046,extended_monitoring_recovery,Features an extended observation and monitoring duration over 6 days prior to Release A.,3.0,non_home_disposition,1.0,0.017827309668064117,0.00018206116510555148
V0047,uncomplicated_recovery,Standard 2-day inpatient recovery course ending in Release A.,5.0,early_or_irregular_discharge,1.0,0.3604518473148346,0.014112981967628002
V0048,extended_monitoring_recovery,Shows a materially longer observation period (5 days) with repeat monitoring prior to discharge.,5.0,uncomplicated_recovery,1.0,0.02047489397227764,5.235307980910875e-05
V0049,,Extended timeline with a final outcome of Return ER.,,non_home_disposition,2.0,,0.00011380133219063282
V0050,early_or_irregular_discharge,Short ED visit lasting 33 minutes and terminating abruptly at CRP.,2.0,uncomplicated_recovery,2.0,0.39555463194847107,0.37510666251182556
V0051,uncomplicated_recovery,"Standard hospital stay with admission and release A, no escalation or extended monitoring.",4.0,extended_monitoring_recovery,1.0,0.11183346062898636,0.002111108275130391
