variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,rapid_triage_and_discharge,"Short duration, initial ER registration, triage, and sepsis screening without inpatient admission.",3.0,short_inpatient_admission,2.0,0.40079689025878906,0.3428671360015869
V0002,rapid_triage_and_discharge,Short duration outpatient evaluation with initial triage and rapid blood work.,2.0,short_inpatient_admission,2.0,0.38800156116485596,0.33659490942955017
V0003,rapid_triage_and_discharge,Short duration triage and lab tests without admission.,1.0,short_inpatient_admission,2.0,0.39491796493530273,0.3369881808757782
V0004,acute_medical_intervention,Involves extensive diagnostics and acute treatment with IV liquids and IV antibiotics within a moderate duration.,5.0,rapid_triage_and_discharge,1.0,0.7879018783569336,0.000607567373663187
V0005,rapid_triage_and_discharge,Initial ER triage and standard screening labs completed quickly without inpatient admission.,3.0,acute_medical_intervention,2.0,0.3893013298511505,0.3352951109409332
V0006,acute_medical_intervention,Standard acute care path featuring diagnostics and IV treatments within a moderate duration.,5.0,rapid_triage_and_discharge,1.0,0.7654459476470947,0.0014914828352630138
V0007,acute_medical_intervention,"Standard acute care path with diagnostics, IV liquids, and IV antibiotics within a moderate timeframe.",6.0,short_inpatient_admission,1.0,0.7584040760993958,0.000749628699850291
V0008,short_inpatient_admission,"Involves short-term ward admission (Admission NC) spanning a few days, concluding with standard release.",7.0,chronic_rework_and_readmission,1.0,0.34636595845222473,0.0017786488169804215
V0009,acute_medical_intervention,Standard acute care path featuring comprehensive diagnostics and active IV interventions.,6.0,rapid_triage_and_discharge,1.0,0.7765326499938965,0.004101776983588934
V0010,rapid_triage_and_discharge,Short outpatient evaluation path ending with triage and labs without admission.,2.0,short_inpatient_admission,3.0,0.35050883889198303,0.33742550015449524
V0011,acute_medical_intervention,Acute care pathway including extensive diagnostics followed by IV treatment within moderate duration.,7.0,rapid_triage_and_discharge,1.0,0.7615540623664856,0.0008854572079144418
V0012,acute_medical_intervention,Standard diagnostics followed by IV liquids and IV antibiotics in a short duration.,6.0,rapid_triage_and_discharge,1.0,0.8218842148780823,0.0006104464991949499
V0013,rapid_triage_and_discharge,Rapid triage and screening labs completed in a short duration.,2.0,acute_medical_intervention,2.0,0.37869831919670105,0.3458981513977051
V0014,short_inpatient_admission,Short-term ward admission spanning a few days leading to a standard release.,6.0,rapid_triage_and_discharge,2.0,0.3422210216522217,0.002308000810444355
V0015,chronic_rework_and_readmission,Features heavy repetition of diagnostics (CRP and Leucocytes repeated) indicating rework.,7.0,short_inpatient_admission,1.0,0.5242221355438232,0.001538728945888579
V0016,chronic_rework_and_readmission,Includes heavy repetition of diagnostics (CRP and Leucocytes repeated) characteristic of rework pathways.,5.0,acute_medical_intervention,1.0,0.5117879509925842,6.932452379260212e-05
V0017,rapid_triage_and_discharge,Brief initial triage and blood work without subsequent inpatient admission.,3.0,short_inpatient_admission,3.0,0.37880799174308777,0.34578847885131836
V0018,short_inpatient_admission,Short-term inpatient ward admission concluding with a standard patient release.,7.0,acute_medical_intervention,2.0,0.3413277864456177,0.0014147924957796931
V0019,acute_medical_intervention,Moderate duration acute care pathway with diagnostics and IV treatments.,7.0,rapid_triage_and_discharge,2.0,0.7770377993583679,0.003596652066335082
V0020,rapid_triage_and_discharge,"Short evaluation consisting of triage, IV fluids, and basic blood screening.",4.0,acute_medical_intervention,2.0,0.3905748426914215,0.33402159810066223
V0021,chronic_rework_and_readmission,Involves rework of diagnostics and results in the patient returning to the ER.,6.0,acute_medical_intervention,1.0,0.11554303765296936,0.0118705527856946
V0022,short_inpatient_admission,Includes a short-term ward admission followed by standard patient release.,6.0,rapid_triage_and_discharge,1.0,0.34078601002693176,0.000873001292347908
V0023,chronic_rework_and_readmission,Highly complex path involving repetition of diagnostics and subsequent return to the ER.,7.0,short_inpatient_admission,1.0,0.1112910807132721,0.016482455655932426
