variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative ends at ER Sepsis Triage and does not reach any discharge pathway.,,release_a,2.0,,0.4030590355396271
V0002,,The narrative terminates at CRP testing and does not contain a discharge event.,,release_a,2.0,,0.3902636766433716
V0003,,The narrative ends at Leucocytes and does not include any discharge activity.,,release_a,2.0,,0.39718008041381836
V0004,,The process terminates at IV Antibiotics administration without reaching a discharge pathway.,,release_a,2.0,,0.3595428764820099
V0005,,The trace ends at LacticAcid and lacks a discharge activity.,,release_a,2.0,,0.3915635049343109
V0006,,The narrative finishes at IV Antibiotics without any subsequent discharge events.,,release_b,2.0,,0.337086945772171
V0007,,The narrative ends at IV Antibiotics and does not progress to discharge.,,release_b,2.0,,0.33662155270576477
V0008,release_a,"The narrative concludes with Release A, matching the Release A discharge pathway category.",7.0,release_b,2.0,0.3664673864841461,0.3369273245334625
V0009,,The trace stops at IV Antibiotics without reaching a discharge event.,,release_a,2.0,,0.34817370772361755
V0010,,The narrative terminates at ER Sepsis Triage and does not include a discharge.,,release_a,2.0,,0.35277101397514343
V0011,,The sequence ends at IV Antibiotics without proceeding to discharge.,,release_b,2.0,,0.3334716260433197
V0012,,The narrative finishes at IV Antibiotics and does not reach a discharge pathway.,,release_a,2.0,,0.39352524280548096
V0013,,The trace stops at Leucocytes without any discharge events.,,release_a,3.0,,0.3809604346752167
V0014,release_a,"The narrative ends with Release A, realizing the Release A category.",8.0,release_b,2.0,0.36232244968414307,0.34107232093811035
V0015,release_a,"The narrative ends with Release A, realizing the Release A category.",4.0,release_b,3.0,0.04023589938879013,0.34168222546577454
V0016,release_a,"The narrative concludes with Release A, matching the Release A category.",2.0,release_b,3.0,0.02780168317258358,0.3370905816555023
V0017,,The trace ends at ER Sepsis Triage without reaching any discharge pathway.,,release_a,3.0,,0.3810701370239258
V0018,release_a,"The narrative concludes with Release A, aligning with the Release A category.",6.0,release_c,3.0,0.36142924427986145,0.34196552634239197
V0019,,The narrative ends at IV Antibiotics without any discharge outcome.,,release_a,3.0,,0.3486788272857666
V0020,,The trace terminates at CRP and lacks a discharge activity.,,release_a,3.0,,0.39283695816993713
V0021,,"Although Release A occurs intermediately, the final outcome is Return ER, which does not map to any of the release categories.",,release_a,1.0,,0.0006282883114181459
V0022,release_a,"The narrative ends with Release A, realizing the Release A category.",6.0,release_c,1.0,0.36088743805885315,0.34250733256340027
V0023,,"Although Release A is present in the trace, the final outcome is Return ER, which falls outside the release categories.",,release_a,1.0,,0.00020539744582492858
V0024,,The narrative terminates at Admission NC without reaching a discharge pathway.,,release_a,2.0,,0.3410704433917999
V0025,,The trace ends at IV Antibiotics without a discharge event.,,release_a,2.0,,0.3356732130050659
