variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative ends at ER Sepsis Triage and does not reach a discharge pathway.,,release_c,4.0,,0.4790303409099579
V0002,,The narrative ends at CRP and does not reach a discharge pathway.,,release_c,2.0,,0.46623495221138
V0003,,The narrative ends at Leucocytes and does not reach a discharge pathway.,,release_c,2.0,,0.4731513559818268
V0004,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_c,2.0,,0.4355141818523407
V0005,,The narrative ends at LacticAcid and does not reach a discharge pathway.,,release_c,2.0,,0.46753478050231934
V0006,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_d,2.0,,0.41305819153785706
V0007,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_c,3.0,,0.40601637959480286
V0008,release_c,The narrative ends with Release A (Release C pathway equivalent) following admission.,8.0,release_d,2.0,0.6923930048942566,0.3369273245334625
V0009,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_c,2.0,,0.4241449534893036
V0010,,The narrative ends at ER Sepsis Triage and does not reach a discharge pathway.,,release_c,3.0,,0.42874225974082947
V0011,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_c,3.0,,0.4091663360595703
V0012,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_c,3.0,,0.4694965183734894
V0013,,The narrative ends at Leucocytes and does not reach a discharge pathway.,,release_c,3.0,,0.4569317102432251
V0014,release_c,"The narrative leads to Release A following admission, realizing Release C.",9.0,merged_discharge,2.0,0.6882480978965759,0.34107232093811035
V0015,release_c,"The narrative leads to Release A following admission, realizing Release C.",3.0,release_d,3.0,0.3661614954471588,0.3531383275985718
V0016,release_c,"The narrative leads to Release A following admission, realizing Release C.",5.0,merged_discharge,2.0,0.3537273108959198,0.340704083442688
V0017,,The narrative ends at ER Sepsis Triage and does not reach a discharge pathway.,,release_c,3.0,,0.4570414125919342
V0018,release_c,"The narrative leads to Release A following admission, realizing Release C.",7.0,merged_discharge,2.0,0.6873548626899719,0.34196552634239197
V0019,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_c,4.0,,0.42465007305145264
V0020,,The narrative ends at CRP and does not reach a discharge pathway.,,release_c,4.0,,0.46880826354026794
V0021,merged_discharge,"The narrative results in a Return ER indicator following discharge, mapping to the Merged Discharge category tracking post-discharge deterioration.",0.0,release_c,3.0,0.00461190240457654,0.005273167043924332
V0022,release_c,"The narrative leads to Release A following admission, realizing Release C.",7.0,merged_discharge,3.0,0.6868130564689636,0.34250733256340027
V0023,merged_discharge,"The narrative results in a Return ER indicator following discharge, mapping to the Merged Discharge category tracking post-discharge deterioration.",3.0,release_c,4.0,0.0,0.009885069914162159
V0024,,The narrative ends at Admission NC without completing a discharge pathway.,,release_c,4.0,,0.41704174876213074
V0025,,The narrative ends at IV Antibiotics without reaching a discharge pathway.,,release_c,4.0,,0.41164445877075195
V0026,merged_discharge,"The variant ends with Return ER after Release A, matching the merged discharge pathway involving post-discharge ER return indicators.",3.0,release_c,2.0,0.19100594520568848,0.1811208873987198
V0027,,The variant ends with IV Antibiotics and does not reach any discharge or release outcome.,,release_c,4.0,,0.4068181812763214
V0028,merged_discharge,"The variant ends with Return ER after Release A, tracking post-discharge deterioration as measured by ER return.",4.0,release_c,3.0,0.027264675125479698,0.007231835275888443
V0029,,The variant terminates at Leucocytes without completing a discharge pathway.,,release_c,4.0,,0.4595734179019928
V0030,release_c,"The variant concludes with Release A, corresponding to captured discharge alternatives evaluated against performance indicators.",5.0,merged_discharge,4.0,0.355057030916214,0.34203386306762695
V0031,,The variant terminates at LacticAcid without reaching a discharge or release state.,,release_c,4.0,,0.44396302103996277
V0032,merged_discharge,"The variant shows Release A followed by Return ER, matching the merged discharge pathway with post-discharge ER returns.",5.0,release_c,4.0,0.02426167018711567,0.01437660213559866
V0033,merged_discharge,"The variant culminates in Return ER following Release A, fitting the merged discharge pathway.",3.0,release_c,2.0,0.2109108418226242,0.16679668426513672
V0034,,The variant ends at IV Liquid and lacks any discharge activity.,,release_c,2.0,,0.3656522035598755
V0035,release_c,"The variant concludes with Release A, representing a standard captured discharge outcome.",4.0,release_d,4.0,0.3336624205112457,0.3353627026081085
V0036,,The variant ends prematurely at CRP and does not reach a discharge outcome.,,release_d,4.0,,0.47411593794822693
V0037,release_d,"The variant concludes with Release B, mapping to captured discharge alternatives evaluated against performance indicators.",13.0,release_c,2.0,0.7203038334846497,0.3369273245334625
V0038,,The variant ends with IV Antibiotics and does not involve any discharge.,,release_c,3.0,,0.4081854522228241
V0039,release_c,"The variant results in Release A, aligning with captured discharge outcomes.",5.0,merged_discharge,4.0,0.44520553946495056,0.33402135968208313
V0040,,The variant ends with Admission NC and does not progress to a final discharge or release outcome.,,release_c,3.0,,0.403452068567276
V0041,release_c,"The variant concludes with Release A, matching captured discharge outcomes.",5.0,merged_discharge,3.0,0.4688534736633301,0.33535662293434143
V0042,release_c,"The variant concludes with Release A, matching captured discharge outcomes.",5.0,merged_discharge,3.0,0.35636821389198303,0.3433450162410736
V0043,,The variant terminates at LacticAcid without reaching a discharge pathway.,,release_c,2.0,,0.45636415481567383
V0044,release_c,"The variant concludes with Release A, aligning with captured discharge outcomes.",5.0,merged_discharge,3.0,0.35944876074790955,0.34642553329467773
V0045,merged_discharge,"The variant leads to Return ER after Release A, satisfying the merged discharge pathway with ER return indicators.",6.0,release_c,2.0,0.3368690311908722,0.3387773036956787
V0046,release_c,"The variant ends with Release A, representing a captured discharge outcome.",5.0,merged_discharge,4.0,0.3407994508743286,0.3337673246860504
V0047,release_c,"The variant concludes with Release A, reflecting a captured discharge outcome.",7.0,merged_discharge,3.0,0.7075799107551575,0.3449261486530304
V0048,release_c,"The variant ends with Release A, matching captured discharge outcomes.",5.0,release_d,2.0,0.3434470593929291,0.3355468809604645
V0049,merged_discharge,"The variant ends in Return ER after Release A, matching the merged discharge pathway with post-discharge ER return indicators.",4.0,release_c,5.0,0.051355015486478806,0.007240867242217064
V0050,,The variant terminates at CRP without reaching a discharge or release outcome.,,release_c,3.0,,0.4602445065975189
V0051,,"The narrative ends with Release A, which does not map to any of the specific discharge alternatives (merged_discharge, release_c, release_d, release_e) in the taxonomy.",,release_c,2.0,,0.011336692608892918
V0052,,"The outcome is Return ER following Release A, which is not captured by the specified taxonomy categories.",,release_c,1.0,,0.0011550614144653082
V0053,,"The narrative concludes with Release A, outside the scope of the defined taxonomy alternatives.",,release_c,2.0,,0.002903180895373225
V0054,,"The pathway results in Return ER after Release A, which does not match any category_id.",,merged_discharge,1.0,,0.0008676698780618608
V0055,,The variant ends with Return ER after Release A and does not match the target categories.,,release_c,1.0,,0.016950344666838646
V0056,,The variant terminates at IV Antibiotics rather than a recognized discharge category.,,release_c,3.0,,0.4393429756164551
V0057,,"The variant ends with Release A, which is not part of the taxonomy.",,release_c,2.0,,0.0005718793836422265
