variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative ends at ER Sepsis Triage and does not reach any ward admission or discharge category.,,release_a,2.0,,0.3891150653362274
V0002,,The narrative terminates at CRP testing without any admission or release step.,,admission_nc,1.0,,0.37631967663764954
V0003,,"The narrative ends with Leucocytes testing, lacking admission or discharge dispositions.",,admission_nc,2.0,,0.3832360804080963
V0004,,The narrative concludes at IV Antibiotics administration and does not enter an inpatient ward or discharge flow.,,admission_nc,1.0,,0.08746704459190369
V0005,,The case stops at LacticAcid without proceeding to admission or release.,,admission_nc,1.0,,0.37761950492858887
V0006,,The narrative ends at IV Antibiotics without any admission or release categories.,,admission_nc,2.0,,0.06501110643148422
V0007,,The trace concludes at IV Antibiotics and does not reach ward admission or release.,,admission_nc,1.0,,0.05796925723552704
V0008,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",5.0,release_a,1.0,0.35159358382225037,0.0017786488169804215
V0009,,The sequence stops at IV Antibiotics and does not include admission or release events.,,admission_nc,2.0,,0.07609784603118896
V0010,,The narrative terminates at ER Sepsis Triage without reaching admission or discharge.,,release_a,2.0,,0.3388270139694214
V0011,,The trace ends at IV Antibiotics without any ward admission or release disposition.,,admission_nc,1.0,,0.061119209975004196
V0012,,The sequence ends at IV Antibiotics without reaching admission or release.,,admission_nc,2.0,,0.12144941836595535
V0013,,The narrative finishes at Leucocytes and lacks admission or release steps.,,admission_nc,3.0,,0.367016464471817
V0014,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",6.0,release_a,1.0,0.3474486172199249,0.000767590943723917
V0015,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",4.0,release_a,1.0,0.025362059473991394,0.001538728945888579
V0016,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",0.0,release_a,1.0,0.012927841395139694,6.932452379260212e-05
V0017,,The trace terminates at ER Sepsis Triage without admission or release.,,admission_nc,2.0,,0.36712613701820374
V0018,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",4.0,release_a,1.0,0.3465553820133209,0.00012561735638882965
V0019,,The trace finishes at IV Antibiotics and does not reach admission or release.,,release_a,3.0,,0.07660297304391861
V0020,,The sequence terminates at CRP testing without admission or release disposition.,,admission_nc,3.0,,0.3788929879665375
V0021,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",3.0,release_a,1.0,0.38331708312034607,0.0006289064767770469
V0022,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",4.0,release_a,2.0,0.3460136353969574,0.00066740857437253
V0023,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",6.0,release_a,1.0,0.38792896270751953,0.00020539744582492858
V0024,admission_nc,"The narrative includes Admission NC, realizing the admission to normal care inpatient ward category.",6.0,release_a,2.0,0.7838221192359924,0.3410704433917999
V0025,,The sequence ends at IV Antibiotics without any admission or release events.,,release_a,2.0,,0.06359736621379852
