variant_id,category_id,rationale,structural_distance_to_category_medoid,nearest_other_category_id,nearest_other_category_structural_distance,profile_distance_to_category_medoid,nearest_other_category_profile_distance
V0001,,The narrative ends at ER Sepsis Triage and does not involve inpatient admission or any release pathway.,,release_a,2.0,,0.3891150653362274
V0002,,"The narrative terminates at CRP testing within the ER phase, without reaching inpatient admission or release.",,admission_nc,1.0,,0.37631967663764954
V0003,,The narrative stops at Leucocytes testing in the emergency department and does not proceed to admission or release.,,release_a,2.0,,0.3832360804080963
V0004,,The narrative ends with IV Antibiotics administration in the ER and does not progress to inpatient admission.,,admission_nc,1.0,,0.34559890627861023
V0005,,The narrative concludes with LacticAcid testing in the ER without achieving inpatient admission.,,admission_nc,1.0,,0.37761950492858887
V0006,,The narrative stops after IV Antibiotics in the ER and does not involve an inpatient stay or release path.,,release_b,2.0,,0.33371415734291077
V0007,,The narrative terminates at IV Antibiotics inside the emergency department without reaching admission.,,admission_nc,1.0,,0.3347735106945038
V0008,release_a,The case is admitted via Admission NC and reaches Release A.,7.0,admission_nc,1.0,0.3583371639251709,0.009495901875197887
V0009,,The process ends at IV Antibiotics in the ER without proceeding to admission or discharge paths.,,release_a,2.0,,0.3342297077178955
V0010,,The narrative ends at ER Sepsis Triage and does not include inpatient admission or release.,,release_a,2.0,,0.3388270139694214
V0011,,"The process terminates with IV Antibiotics in the ER, lacking admission or release steps.",,admission_nc,1.0,,0.33344152569770813
V0012,,The narrative ends with IV Antibiotics in the ER and does not reach inpatient admission.,,admission_nc,2.0,,0.3795813024044037
V0013,,The sequence stops at Leucocytes testing in the emergency department without admission.,,release_a,3.0,,0.367016464471817
V0014,release_a,The patient is admitted to a non-critical ward via Admission NC and eventually reaches Release A.,8.0,release_b,2.0,0.35419216752052307,0.005350941326469183
V0015,release_a,The patient undergoes Admission NC and successfully reaches Release A.,4.0,admission_nc,1.0,0.032105639576911926,0.010969366878271103
V0016,release_a,The patient is admitted via Admission NC and is discharged through Release A.,2.0,release_b,3.0,0.019671423360705376,0.0014648506185039878
V0017,,The narrative ends at ER Sepsis Triage without inpatient admission or discharge.,,admission_nc,2.0,,0.36712613701820374
V0018,release_a,The patient receives Admission NC and is released via Release A.,6.0,admission_nc,3.0,0.35329899191856384,0.004457733128219843
V0019,,The narrative concludes at IV Antibiotics in the ER without reaching inpatient care.,,release_a,3.0,,0.33473482728004456
V0020,,The narrative ends at CRP testing in the ER without admission or release.,,admission_nc,3.0,,0.3788929879665375
V0021,release_a,The patient experiences Admission NC and reaches Release A before a subsequent ER return.,5.0,admission_nc,2.0,0.37657347321510315,0.005273167043924332
V0022,release_a,The narrative includes Admission NC and terminates at Release A.,6.0,release_c,1.0,0.35275718569755554,0.003915941808372736
V0023,release_a,The patient goes through Admission NC and Release A prior to an ER return.,8.0,release_c,4.0,0.381185382604599,0.009885069914162159
V0024,admission_nc,"The narrative ends at Admission NC, realizing the non-critical inpatient admission goal without a subsequent release recorded.",6.0,release_a,3.0,0.7732892036437988,0.3410704433917999
V0025,,The sequence ends at IV Antibiotics in the ER without reaching inpatient admission.,,release_a,2.0,,0.33436623215675354
V0026,release_a,The case includes Admission NC and Release A prior to an ER return.,4.0,admission_nc,3.0,0.5235127806663513,0.1811208873987198
V0027,,The narrative concludes with IV Antibiotics in the ER without admission.,,admission_nc,3.0,,0.33397170901298523
V0028,release_a,The patient is admitted via Admission NC and reaches Release A before returning to the ER.,5.0,release_b,2.0,0.40845003724098206,0.008843288756906986
V0029,,The narrative stops at Leucocytes testing in the ER without admission.,,release_b,2.0,,0.36965814232826233
V0030,release_a,The patient undergoes Admission NC and is discharged via Release A.,4.0,admission_nc,3.0,0.02100117690861225,0.00013509762356989086
V0031,,The narrative ends at LacticAcid testing in the ER without inpatient admission.,,release_b,3.0,,0.3540477454662323
V0032,release_a,The narrative includes Admission NC and Release A before a subsequent ER return.,4.0,admission_nc,4.0,0.3569237291812897,0.01437660213559866
V0033,release_a,The patient is admitted via Admission NC and reaches Release A before returning to the ER.,6.0,release_d,4.0,0.592096209526062,0.16679668426513672
V0034,,The sequence ends at IV Liquid in the ER without proceeding to admission.,,release_a,2.0,,0.016784977167844772
V0035,release_a,The patient undergoes Admission NC and reaches Release A.,1.0,release_c,2.0,0.0010516488691791892,0.00870306883007288
V0036,,The narrative terminates at CRP testing in the ER without admission.,,release_b,3.0,,0.38420066237449646
V0037,release_b,The patient is admitted via Admission NC and successfully reaches discharge path B (Release B).,5.0,release_a,1.0,0.3478574752807617,0.33376121520996094
V0038,,The process ends at IV Antibiotics in the ER without inpatient admission.,,release_a,3.0,,0.33406221866607666
V0039,release_a,The narrative includes Admission NC and terminates at Release A.,4.0,admission_nc,2.0,0.11114964634180069,0.0024409189354628325
V0040,admission_nc,"The narrative terminates at Admission NC, realizing the non-critical inpatient admission goal without a subsequent release.",5.0,release_b,1.0,0.7596995234489441,0.3391858637332916
V0041,release_a,The patient undergoes Admission NC and reaches Release A.,2.0,release_c,3.0,0.13479755818843842,0.004060936626046896
V0042,release_a,The patient receives Admission NC and is discharged via Release A.,4.0,admission_nc,1.0,0.022312326356768608,0.0011760516790673137
V0043,,The narrative ends at LacticAcid testing in the ER without inpatient admission.,,release_a,2.0,,0.36644890904426575
V0044,release_a,The patient is admitted via Admission NC and reaches Release A.,4.0,release_b,3.0,0.02539287507534027,0.004256600048393011
V0045,release_a,"The patient undergoes Admission NC, reaches Release A, and later has an ER return.",8.0,admission_nc,3.0,0.718054473400116,0.3387773036956787
V0046,release_a,The narrative includes Admission NC and concludes at Release A.,4.0,release_c,4.0,0.0067435819655656815,0.009495344944298267
V0047,release_a,The patient is admitted via Admission NC and reaches Release A.,6.0,admission_nc,1.0,0.3735239803791046,0.024682745337486267
V0048,release_a,The narrative includes Admission NC and terminates at Release A.,2.0,admission_nc,2.0,0.009391166269779205,0.006847761105746031
V0049,release_a,The patient undergoes Admission NC and Release A before a subsequent ER return.,7.0,admission_nc,5.0,0.4325404167175293,0.007240867242217064
V0050,,The narrative ends at CRP testing in the ER without reaching inpatient admission or release.,,admission_nc,1.0,,0.37032926082611084
V0051,release_a,"The narrative culminates in Release A, realizing the discharge path A goal.",3.0,admission_nc,2.0,0.12346086651086807,0.002435873029753566
V0052,,"The outcome is Return ER, which does not map to a successful inpatient release path.",,release_a,1.0,,0.0010482902871444821
V0053,release_a,"The narrative culminates in Release A, realizing the discharge path A goal.",9.0,admission_nc,3.0,0.37642717361450195,0.02758592553436756
V0054,,"The outcome is Return ER, which does not map to a successful inpatient release path.",,release_a,1.0,,0.0006520826718769968
V0055,,"The outcome is Return ER, which does not map to a successful inpatient release path.",,release_a,1.0,,0.001251789159141481
V0056,,The process terminates at IV Antibiotics without an admission or release category.,,admission_nc,2.0,,0.349427729845047
V0057,release_a,"The narrative culminates in Release A, realizing the discharge path A goal.",4.0,release_b,3.0,0.3740958869457245,0.0252546239644289
V0058,release_a,"The narrative culminates in Release A, realizing the discharge path A goal.",8.0,admission_nc,2.0,0.36885058879852295,0.020009327679872513
