variant_id,sample_reasons,frequency,frequency_pct,trace_length,duration_seconds_median,outcome,narrative
V0001,frequent,56482,0.3756201369954113,5,55123200.0,Send for Credit Collection,Create Fine Send Fine (+90d) Insert Fine Notification (+23d) Add penalty (+60d) Send for Credit Collection (+465d)
V0002,"frequent,duration_low,length_low",46371,0.3083793309835738,2,432000.0,Payment,Create Fine Payment (+5d)
V0003,"frequent,length_low",20385,0.1355656048413912,2,8726400.0,Send Fine,Create Fine Send Fine (+101d)
V0004,frequent,9520,0.0633105007647802,5,36543600.0,Payment,Create Fine Send Fine (+122d) Insert Fine Notification (+10d) Add penalty (+60d) Payment (+231d)
V0005,frequent,3736,0.024845381392565,6,23416200.0,Payment,Create Fine Send Fine (+46d) Insert Fine Notification (+17d) Add penalty (+60d) Payment (+46d) Payment (+102d) Rework observed: Payment was repeated (seen in 3736 cases).
V0006,frequent,3301,0.0219525171244264,6,19177200.0,Payment,Create Fine Send Fine (+61d) Insert Fine Notification (+15d) Payment (+24d) Add penalty (+36d) Payment (+86d) Rework observed: Payment was repeated (seen in 3301 cases).
V0007,"frequent,length_low",3131,0.0208219724679124,3,8467200.0,Payment,Create Fine Send Fine (+80d) Payment (+18d)
V0008,frequent,2497,0.016605705925384,6,17452800.0,Send Appeal to Prefecture,Create Fine Send Fine (+133d) Insert Fine Notification (+8d) Insert Date Appeal to Prefecture (+20d) Add penalty (+40d) Send Appeal to Prefecture (+1d)
V0009,frequent,1515,0.0100751479683447,6,53744400.0,Send for Credit Collection,Create Fine Send Fine (+40d) Insert Fine Notification (+14d) Add penalty (+60d) Payment (+7d) Send for Credit Collection (+501d)
V0010,frequent,522,0.0034714371217663,6,49899600.0,Send for Credit Collection,Create Fine Send Fine (+48d) Insert Fine Notification (+20d) Payment (+44d) Add penalty (+16d) Send for Credit Collection (+450d)
V0012,"duration_low,length_low",362,0.0024073950921061,3,4924800.0,Send Fine,Create Fine Payment (+4d) Send Fine (+53d)
V0048,length_low,12,7.980315222451287e-05,3,10020600.0,Payment,Create Fine Payment (+16d) Payment (+115d) Rework observed: Payment was repeated (seen in 12 cases).
V0057,duration_high,8,5.320210148300858e-05,9,167619600.0,Send Appeal to Prefecture,Create Fine Send Fine (+106d) Insert Fine Notification (+12d) Insert Date Appeal to Prefecture (+36d) Add penalty (+24d) Receive Result Appeal from Prefecture (+44d) Notify Result Appeal to Offender (+51d) Send for Credit Collection (+669d) Send Appeal to Prefecture (+1000d)
V0103,duration_high,2,1.3300525370752144e-05,7,235400400.0,Send Appeal to Prefecture,Create Fine Send Fine (+132d) Insert Fine Notification (+17d) Appeal to Judge (+48d) Insert Date Appeal to Prefecture (+2d) Add penalty (+10d) Send Appeal to Prefecture (+1399d)
V0193,duration_low,1,6.650262685376072e-06,4,5007600.0,Send Fine,Create Fine Payment Payment (+57d) Send Fine (+1d) Rework observed: Payment was repeated (seen in 1 cases).
V0177,duration_high,1,6.650262685376072e-06,10,173062800.0,Send Appeal to Prefecture,Create Fine Send Fine (+138d) Insert Fine Notification (+12d) Add penalty (+60d) Insert Date Appeal to Prefecture (+38d) Receive Result Appeal from Prefecture (+209d) Notify Result Appeal to Offender (+8d) Appeal to Judge (+9d) Send for Credit Collection (+1093d) Send Appeal to Prefecture (+436d)
V0176,duration_high,1,6.650262685376072e-06,7,173322000.0,Send Appeal to Prefecture,Create Fine Send Fine (+141d) Insert Fine Notification (+12d) Add penalty (+60d) Insert Date Appeal to Prefecture (+38d) Appeal to Judge (+216d) Send Appeal to Prefecture (+1539d)
V0144,duration_low,1,6.650262685376072e-06,7,5270400.0,Send Appeal to Prefecture,Create Fine Send Fine Insert Fine Notification Appeal to Judge (+1d) Add penalty (+59d) Insert Date Appeal to Prefecture Send Appeal to Prefecture (+1d)
V0158,duration_high,1,6.650262685376072e-06,9,173149200.0,Send Appeal to Prefecture,Create Fine Send Fine (+139d) Insert Fine Notification (+12d) Add penalty (+60d) Insert Date Appeal to Prefecture (+13d) Receive Result Appeal from Prefecture (+153d) Notify Result Appeal to Offender (+7d) Appeal to Judge (+50d) Send Appeal to Prefecture (+1570d)
V0153,length_high,1,6.650262685376072e-06,20,56073600.0,Payment,Create Fine Send Fine Insert Fine Notification Appeal to Judge (+10d) Add penalty (+50d) Payment (+180d) Payment (+26d) Payment (+25d) Payment (+31d) Payment (+35d) Payment (+28d) Payment (+25d) Payment (+34d) Payment (+16d) Payment (+28d) Payment (+34d) Payment (+41d) Payment (+18d) Payment (+44d) Payment (+24d) Rework observed: Payment was repeated (seen in 1 cases).
V0151,length_high,1,6.650262685376072e-06,16,61344000.0,Payment,Create Fine Send Fine (+19d) Insert Fine Notification Appeal to Judge (+5d) Add penalty (+55d) Payment (+183d) Payment (+34d) Payment (+31d) Payment (+35d) Payment (+23d) Payment (+40d) Payment (+55d) Payment (+31d) Payment (+33d) Payment (+105d) Payment (+61d) Rework observed: Payment was repeated (seen in 1 cases).
V0147,length_high,1,6.650262685376072e-06,17,78274800.0,Payment,Create Fine Send Fine Insert Fine Notification Appeal to Judge (+2d) Add penalty (+58d) Payment (+424d) Payment (+28d) Payment (+36d) Payment (+29d) Payment (+33d) Payment (+29d) Payment (+43d) Payment (+36d) Payment (+42d) Payment (+27d) Payment (+49d) Payment (+70d) Rework observed: Payment was repeated (seen in 1 cases).
V0145,duration_low,1,6.650262685376072e-06,7,6912000.0,Send Appeal to Prefecture,Create Fine Send Fine Insert Fine Notification Add penalty (+60d) Payment Insert Date Appeal to Prefecture (+1d) Send Appeal to Prefecture (+19d)
V0135,rare,1,6.650262685376072e-06,9,71625600.0,Send for Credit Collection,Create Fine Send Fine (+65d) Insert Date Appeal to Prefecture (+12d) Insert Fine Notification Add penalty (+60d) Send Appeal to Prefecture (+23d) Receive Result Appeal from Prefecture (+51d) Notify Result Appeal to Offender (+3d) Send for Credit Collection (+615d)
V0141,"rare,length_high",1,6.650262685376072e-06,16,44755200.0,Payment,Create Fine Send Fine Insert Fine Notification Add penalty (+60d) Insert Date Appeal to Prefecture (+4d) Send Appeal to Prefecture (+18d) Payment (+83d) Payment (+24d) Payment (+32d) Payment (+29d) Payment (+35d) Payment (+55d) Payment (+58d) Payment (+28d) Payment (+34d) Payment (+58d) Rework observed: Payment was repeated (seen in 1 cases).
V0140,rare,1,6.650262685376072e-06,8,42598800.0,Payment,Create Fine Send Fine (+123d) Insert Fine Notification (+21d) Appeal to Judge (+48d) Add penalty (+12d) Insert Date Appeal to Prefecture (+8d) Send Appeal to Prefecture (+52d) Payment (+229d)
V0139,rare,1,6.650262685376072e-06,10,41562000.0,Payment,Create Fine Send Fine (+129d) Insert Fine Notification (+7d) Insert Date Appeal to Prefecture (+37d) Add penalty (+23d) Send Appeal to Prefecture (+110d) Receive Result Appeal from Prefecture (+109d) Appeal to Judge (+6d) Notify Result Appeal to Offender (+5d) Payment (+55d)
V0138,rare,1,6.650262685376072e-06,9,87436800.0,Send for Credit Collection,Create Fine Send Fine (+92d) Insert Fine Notification (+10d) Insert Date Appeal to Prefecture (+11d) Add penalty (+49d) Receive Result Appeal from Prefecture (+101d) Notify Result Appeal to Offender (+8d) Send Appeal to Prefecture (+649d) Send for Credit Collection (+92d)
V0137,rare,1,6.650262685376072e-06,7,25059600.0,Notify Result Appeal to Offender,Create Fine Send Fine (+56d) Insert Fine Notification (+7d) Insert Date Appeal to Prefecture (+28d) Add penalty (+32d) Receive Result Appeal from Prefecture (+155d) Notify Result Appeal to Offender (+12d)
V0136,rare,1,6.650262685376072e-06,7,20905200.0,Payment,Create Fine Send Fine (+146d) Insert Fine Notification (+7d) Receive Result Appeal from Prefecture (+58d) Add penalty (+2d) Notify Result Appeal to Offender (+9d) Payment (+20d)
V0134,rare,1,6.650262685376072e-06,10,118368000.0,Send for Credit Collection,Create Fine Send Fine (+70d) Insert Fine Notification (+8d) Insert Date Appeal to Prefecture (+5d) Send Appeal to Prefecture (+31d) Receive Result Appeal from Prefecture (+20d) Add penalty (+4d) Notify Result Appeal to Offender (+3d) Appeal to Judge (+32d) Send for Credit Collection (+1197d)
V0133,rare,1,6.650262685376072e-06,7,81043200.0,Send for Credit Collection,Create Fine Send Fine (+102d) Insert Fine Notification (+8d) Add penalty (+60d) Notify Result Appeal to Offender (+227d) Receive Result Appeal from Prefecture Send for Credit Collection (+541d)
V0132,rare,1,6.650262685376072e-06,8,28771200.0,Payment,Create Fine Send Fine (+70d) Insert Fine Notification (+9d) Add penalty (+60d) Insert Date Appeal to Prefecture (+33d) Payment (+127d) Receive Result Appeal from Prefecture (+20d) Payment (+14d) Rework observed: Payment was repeated (seen in 1 cases).
V0224,length_high,1,6.650262685376072e-06,17,61603200.0,Payment,Create Fine Send Fine (+52d) Insert Fine Notification (+21d) Insert Date Appeal to Prefecture (+1d) Send Appeal to Prefecture (+1d) Appeal to Judge (+15d) Add penalty (+43d) Payment (+310d) Payment (+29d) Payment (+38d) Payment (+35d) Payment (+35d) Payment (+29d) Payment (+28d) Payment (+21d) Payment (+23d) Payment (+32d) Rework observed: Payment was repeated (seen in 1 cases).
