variant_id,narrative
V0001,Create Fine Send Fine (+90d) Insert Fine Notification (+23d) Add penalty (+60d) Send for Credit Collection (+465d)
V0002,Create Fine Payment (+5d)
V0003,Create Fine Send Fine (+101d)
V0004,Create Fine Send Fine (+122d) Insert Fine Notification (+10d) Add penalty (+60d) Payment (+231d)
V0005,Create Fine Send Fine (+46d) Insert Fine Notification (+17d) Add penalty (+60d) Payment (+46d) Payment (+102d) Rework observed: Payment was repeated (seen in 3736 cases).
V0006,Create Fine Send Fine (+61d) Insert Fine Notification (+15d) Payment (+24d) Add penalty (+36d) Payment (+86d) Rework observed: Payment was repeated (seen in 3301 cases).
V0007,Create Fine Send Fine (+80d) Payment (+18d)
V0008,Create Fine Send Fine (+133d) Insert Fine Notification (+8d) Insert Date Appeal to Prefecture (+20d) Add penalty (+40d) Send Appeal to Prefecture (+1d)
V0009,Create Fine Send Fine (+40d) Insert Fine Notification (+14d) Add penalty (+60d) Payment (+7d) Send for Credit Collection (+501d)
V0010,Create Fine Send Fine (+48d) Insert Fine Notification (+20d) Payment (+44d) Add penalty (+16d) Send for Credit Collection (+450d)
V0011,Create Fine Send Fine (+62d) Insert Fine Notification (+10d) Add penalty (+60d) Insert Date Appeal to Prefecture Send Appeal to Prefecture (+94d)
V0012,Create Fine Payment (+4d) Send Fine (+53d)
V0013,Create Fine Send Fine (+138d) Insert Fine Notification (+24d) Insert Date Appeal to Prefecture (+49d) Add penalty (+11d) Send Appeal to Prefecture (+13d) Receive Result Appeal from Prefecture (+36d) Notify Result Appeal to Offender (+25d) Payment (+28d)
V0014,Create Fine Send Fine (+82d) Insert Fine Notification (+6d) Appeal to Judge (+34d) Add penalty (+26d) Payment (+495d)
V0015,Create Fine Send Fine (+96d) Insert Date Appeal to Prefecture (+31d) Send Appeal to Prefecture (+8d)
V0016,Create Fine Send Fine (+84d) Insert Fine Notification (+8d) Insert Date Appeal to Prefecture (+30d) Send Appeal to Prefecture (+28d) Add penalty (+2d) Receive Result Appeal from Prefecture (+97d) Notify Result Appeal to Offender (+11d) Payment (+20d)
V0017,Create Fine Send Fine Insert Fine Notification Appeal to Judge (+30d) Add penalty (+30d) Send for Credit Collection (+1006d)
V0018,Create Fine Payment (+5d) Send Fine (+48d) Insert Fine Notification (+8d) Add penalty (+60d) Payment (+102d) Rework observed: Payment was repeated (seen in 89 cases).
V0019,Create Fine Send Fine (+51d) Insert Fine Notification (+12d) Insert Date Appeal to Prefecture (+55d) Add penalty (+5d) Send Appeal to Prefecture (+18d) Receive Result Appeal from Prefecture (+71d) Notify Result Appeal to Offender (+42d) Send for Credit Collection (+632d)
V0020,Create Fine Send Fine (+136d) Insert Fine Notification (+10d) Insert Date Appeal to Prefecture (+5d) Send Appeal to Prefecture (+8d) Add penalty (+47d) Receive Result Appeal from Prefecture (+9d) Notify Result Appeal to Offender (+62d) Send for Credit Collection (+438d)
V0021,Create Fine Send Fine (+58d) Insert Fine Notification (+7d) Add penalty (+60d) Payment (+27d) Payment (+130d) Payment (+276d) Rework observed: Payment was repeated (seen in 69 cases).
V0022,Create Fine Send Fine (+137d) Insert Fine Notification (+18d) Add penalty (+60d) Insert Date Appeal to Prefecture (+7d) Send Appeal to Prefecture (+42d) Receive Result Appeal from Prefecture (+82d) Notify Result Appeal to Offender (+12d) Payment (+25d)
V0023,Create Fine Payment (+38d) Send Fine (+6d) Payment (+44d) Rework observed: Payment was repeated (seen in 58 cases).
V0024,Create Fine Send Fine (+34d) Payment (+21d) Insert Fine Notification (+1d) Add penalty (+60d) Payment (+91d) Rework observed: Payment was repeated (seen in 56 cases).
V0025,Create Fine Send Fine Insert Fine Notification Add penalty (+60d) Insert Date Appeal to Prefecture (+2d) Send Appeal to Prefecture (+28d) Receive Result Appeal from Prefecture (+18d) Notify Result Appeal to Offender (+60d) Send for Credit Collection (+689d)
V0026,Create Fine Payment (+18d) Send Fine (+21d) Insert Fine Notification (+80d) Add penalty (+60d) Send for Credit Collection (+498d)
V0027,Create Fine Send Fine (+143d) Insert Fine Notification (+10d) Insert Date Appeal to Prefecture (+58d) Add penalty (+2d) Send Appeal to Prefecture (+50d) Receive Result Appeal from Prefecture (+15d) Notify Result Appeal to Offender (+7d) Appeal to Judge (+31d)
V0028,Create Fine Send Fine (+39d) Payment (+21d) Payment (+70d) Rework observed: Payment was repeated (seen in 34 cases).
V0029,Create Fine Send Fine (+124d) Insert Fine Notification (+13d) Add penalty (+60d) Appeal to Judge
V0030,Create Fine Send Fine (+63d) Insert Fine Notification (+31d) Insert Date Appeal to Prefecture (+31d) Add penalty (+29d) Send Appeal to Prefecture (+31d) Receive Result Appeal from Prefecture (+42d) Notify Result Appeal to Offender (+10d)
V0031,Create Fine Send Fine (+114d) Insert Fine Notification (+8d) Add penalty (+60d) Appeal to Judge (+6d) Payment (+564d)
V0032,Create Fine Send Fine (+84d) Insert Fine Notification (+6d) Insert Date Appeal to Prefecture (+21d) Send Appeal to Prefecture (+12d) Add penalty (+27d) Receive Result Appeal from Prefecture (+27d)
V0033,Create Fine Send Fine (+109d) Insert Fine Notification (+10d) Insert Date Appeal to Prefecture (+31d) Add penalty (+29d) Send Appeal to Prefecture (+31d) Receive Result Appeal from Prefecture (+79d) Notify Result Appeal to Offender (+8d) Appeal to Judge (+11d) Payment (+274d)
V0034,Create Fine Send Fine (+50d) Insert Fine Notification (+56d) Add penalty (+60d) Insert Date Appeal to Prefecture (+3d) Send Appeal to Prefecture (+42d) Receive Result Appeal from Prefecture (+43d) Notify Result Appeal to Offender (+12d)
V0035,Create Fine Send Fine (+149d) Insert Fine Notification (+8d) Insert Date Appeal to Prefecture (+9d) Send Appeal to Prefecture (+36d) Add penalty (+15d) Receive Result Appeal from Prefecture (+6d) Notify Result Appeal to Offender (+40d) Appeal to Judge (+29d)
V0036,Create Fine Send Fine (+131d) Insert Fine Notification (+13d) Payment Payment (+50d) Add penalty (+10d) Payment (+15d) Rework observed: Payment was repeated (seen in 20 cases).
V0037,Create Fine Send Fine (+113d) Insert Fine Notification (+15d) Appeal to Judge (+58d) Add penalty (+2d) Payment (+646d) Payment (+42d) Rework observed: Payment was repeated (seen in 19 cases).
V0038,Create Fine Send Fine (+120d) Insert Fine Notification (+9d) Insert Date Appeal to Prefecture (+54d) Add penalty (+6d) Send Appeal to Prefecture (+27d) Receive Result Appeal from Prefecture (+27d)
V0039,Create Fine Send Fine (+63d) Insert Fine Notification (+7d) Insert Date Appeal to Prefecture (+1d) Send Appeal to Prefecture (+1d) Add penalty (+58d) Payment (+270d)
V0040,Create Fine Send Fine (+81d) Insert Fine Notification (+5d) Add penalty (+60d) Appeal to Judge (+16d) Send for Credit Collection (+937d)
V0041,Create Fine Send Fine (+138d) Insert Fine Notification (+18d) Insert Date Appeal to Prefecture (+1d) Send Appeal to Prefecture (+12d) Receive Result Appeal from Prefecture (+45d) Add penalty (+2d) Notify Result Appeal to Offender (+39d) Payment (+13d)
V0042,Create Fine Send Fine (+122d) Insert Fine Notification (+11d) Insert Date Appeal to Prefecture (+15d) Add penalty (+45d) Send Appeal to Prefecture (+6d) Receive Result Appeal from Prefecture (+67d) Payment (+59d)
